label,n_cells,precision,recall,f1,is_rare_lt_50
0,6514,0.9870880054366293,0.8919250844335278,0.9370967741935484,False
1,472,0.7986230636833046,0.9830508474576272,0.8812915479582146,False
2,1218,0.6263070996147496,0.9343185550082101,0.7499176276771005,False
3,1064,0.0,0.0,0.0,False
4,2703,0.613645704891081,0.5523492415834258,0.581386292834891,False
5,1694,0.25117471166168304,0.34710743801652894,0.29144981412639404,False
6,826,0.9582822085889571,0.9455205811138014,0.9518586227909811,False
7,664,0.9326647564469914,0.9804216867469879,0.9559471365638766,False
8,36,0.025,0.027777777777777776,0.02631578947368421,True
9,36,0.9583333333333334,0.6388888888888888,0.7666666666666667,True
10,589,0.9650582362728786,0.9847198641765704,0.9747899159663865,False
11,114,0.9576271186440678,0.9912280701754386,0.9741379310344828,False
12,717,0.9544025157232704,0.8465829846582985,0.8972653362897265,False
13,1862,0.9956663055254604,0.9871106337271751,0.9913700107874865,False
14,155,0.9933774834437086,0.967741935483871,0.9803921568627451,False
