true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,681,0,0,20,0,8,0,5,0,4,0,3,341,0,20
1,0,671,0,0,0,2,0,2,0,1,0,5,3,0,6
2,1,1,0,0,0,11,0,1,0,1,1,2,336,0,0
3,153,1,0,440,0,2,312,5,0,3,2,1,13,0,16
4,0,0,0,0,225,1,0,3,0,0,2,40,19,0,10
5,1,0,0,0,0,1446,0,5,0,1,0,35,23,0,13
6,2,0,0,1,0,64,1,1,0,1,0,14,112,0,200
7,1,0,0,1,0,15,0,1331,2,325,0,18,36,0,22
8,2,1,70,0,0,12,0,14,237,204,0,14,26,0,274
9,0,0,0,0,0,1,0,21,0,238,2,0,2,0,2
10,2,1,0,1,0,7,0,20,1,304,724,4,65,0,24
11,2,26,0,0,0,275,0,24,0,21,0,1003,1193,0,25
12,69,0,0,0,0,3,0,4,0,2,0,1,389,0,10
13,0,29,0,0,0,6,0,3,0,2,0,93,12,191,8
14,3,0,0,5,0,5,0,23,0,59,0,0,88,0,622
