true,0,1,2,3,4,5,6,7,8,9,10,11
0,3977,0,60,35,3,1,117,0,5,15,213,0
1,0,54,0,0,0,0,0,0,0,0,0,0
2,30,0,3498,16,3,0,136,0,3,2360,239,0
3,1,0,10,1781,1,0,9,0,1,0,65,0
4,0,0,0,1,79,0,0,0,0,0,5,0
5,2,0,0,0,0,412,4,0,0,0,14,0
6,247,0,0,0,0,0,0,0,0,0,5,0
7,3,0,1,0,0,0,1,61,0,0,0,1
8,1,1,7,2,784,0,6,0,793,4,26,0
9,0,1,1,0,0,0,0,0,0,1,2,58
10,136,0,92,32,45,6,8101,3,2,27,20954,2
11,0,0,0,0,0,0,3,0,0,0,16,233
