true,0,1,2,3,4,5,6,7,8,9,10,11
0,35,117,5,213,0,0,3,60,15,0,1,3977
1,0,0,0,0,0,54,0,0,0,0,0,0
2,16,136,3,239,0,0,3,3498,2360,0,0,30
3,1781,9,1,65,0,0,1,10,0,0,0,1
4,1,0,0,5,0,0,79,0,0,0,0,0
5,0,4,0,14,0,0,0,0,0,0,412,2
6,0,0,0,5,0,0,0,0,0,0,0,247
7,0,1,0,0,61,0,0,1,0,1,0,3
8,2,6,793,26,0,1,784,7,4,0,0,1
9,0,0,0,2,0,1,0,1,1,58,0,0
10,32,8101,2,20954,3,0,45,92,27,2,6,136
11,0,3,0,16,0,0,0,0,0,233,0,0
