true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2506,1,0,0,2,1,1,3396,0,599,6,1,0,1,0
1,0,14,0,0,2,0,456,0,0,0,0,0,0,0,0
2,0,117,0,0,0,0,0,1,1,0,0,8,1091,0,0
3,0,477,0,0,545,0,11,5,2,0,0,7,14,3,0
4,1,1394,0,0,1240,0,0,3,1,0,0,3,56,5,0
5,2,533,0,0,496,0,105,1,1,0,0,3,546,7,0
6,0,17,0,0,2,0,0,1,17,0,0,3,0,786,0
7,0,1,0,1,0,0,0,2,642,0,1,3,0,14,0
8,1,2,0,13,4,0,0,6,2,1,0,0,1,3,3
9,1,1,0,4,2,0,0,3,22,0,0,0,2,0,1
10,4,0,0,580,1,0,0,3,0,0,0,0,1,0,0
11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,112
12,32,31,0,0,10,1,3,12,9,1,0,587,20,11,0
13,1,0,64,1,0,0,0,2,3,1,1789,0,1,0,0
14,1,0,0,1,2,150,0,0,0,0,0,0,0,1,0
