dataset,canm_cut_ot,canm_cut_ot_warm,canm_cut_reweighted_mix,canm_diagnostic_only,canm_gated_cut_mix,canm_gated_cut_warm,canm_mix_plus_cut,canm_mix_plus_cut_warm
Macosko,0.0,0.0,0.3732874256022652,0.4100517814684983,0.2923443703710783,0.2907788767930447,0.0,0.0
Melanoma_5K,0.5484888723048812,0.6202892450318266,0.664733700215499,0.6656458656897767,0.6606284100119668,0.6657070348309279,0.5434081694441121,0.6197965909381453
SRP182008,0.0,0.0,0.4443267937614685,0.4600076264889612,0.451480493789229,0.4445743367560012,0.0,0.0
Tosches,0.0,0.0,0.7389076207884887,0.7444738515776234,0.5211912275080864,0.5193145582809773,0.0,0.0
Wang,0.7330632097500518,0.7852678042917005,0.9391771630721,0.7449928105412928,0.9387409999669464,0.9391771630721,0.7346703091316307,0.7852678042917005
