label,n_cells,precision,recall,f1,is_rare_lt_50
0,1082,0.7449306296691569,0.6451016635859519,0.691431401684002,False
1,690,0.9291666666666667,0.9695652173913043,0.948936170212766,False
2,354,0.0,0.0,0.0,False
3,948,0.876,0.4620253164556962,0.6049723756906077,False
4,300,1.0,0.7533333333333333,0.8593155893536122,False
5,1524,0.7808958445763626,0.949475065616798,0.8569736452472608,False
6,396,0.003125,0.0025252525252525255,0.002793296089385475,False
7,1751,0.7597512719050311,0.7675613934894346,0.7636363636363637,False
8,854,0.9669669669669669,0.3770491803278688,0.5425442291491154,False
9,266,0.19635459817729908,0.8909774436090225,0.32179226069246436,False
10,1153,0.9905020352781547,0.6331309627059843,0.7724867724867724,False
11,2569,0.8846815834767642,0.4001557026080187,0.5510586974001608,False
12,478,0.13340087808172915,0.8263598326359832,0.22971794126199477,False
13,344,1.0,0.4796511627906977,0.6483300589390962,False
14,805,0.5263157894736842,0.2484472049689441,0.33755274261603374,False
