label,n_cells,precision,recall,f1,is_rare_lt_50
0,512,0.7456140350877193,0.99609375,0.8528428093645485,False
1,56,0.717948717948718,1.0,0.835820895522388,False
2,967,0.861904761904762,0.9358841778697001,0.8973723351512147,False
3,1153,0.8797629127857748,0.9011274934952298,0.8903170522707797,False
4,62,0.7469879518072289,1.0,0.8551724137931035,False
5,120,0.7531645569620253,0.9916666666666667,0.8561151079136691,False
6,46,0.0,0.0,0.0,True
7,1251,0.972809667673716,0.5147881694644284,0.6732880292733926,False
8,346,0.06338028169014084,0.02601156069364162,0.036885245901639344,False
