true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3443,1,0,0,3,2463,1,0,595,0,0,0,1,6,1
1,0,464,1,0,6,0,0,0,0,0,0,0,1,0,0
2,1,0,1186,1,22,0,0,0,0,0,0,0,8,0,0
3,4,14,17,0,1015,0,5,2,0,0,0,0,7,0,0
4,3,0,86,0,2604,1,6,2,0,0,0,0,1,0,0
5,1,140,668,0,870,2,7,2,0,0,0,0,4,0,0
6,1,0,0,5,7,0,802,9,0,0,0,0,2,0,0
7,2,0,0,275,1,0,18,366,0,0,1,0,0,1,0
8,7,0,1,0,6,0,3,2,1,0,14,2,0,0,0
9,4,0,1,0,2,1,0,0,0,23,4,1,0,0,0
10,3,0,1,0,1,4,0,0,0,0,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,1,111,0,1,0
12,16,3,24,7,37,30,9,2,1,0,0,0,587,0,1
13,1,0,1,0,0,1,0,5,1,1,1,0,0,1849,2
14,0,0,0,0,2,1,1,0,0,0,1,0,0,0,150
