true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3,3443,1,6,0,0,1,1,0,0,595,2463,0,0,1
1,6,0,464,0,0,0,0,0,0,0,0,0,0,1,1
2,22,1,0,0,0,0,0,0,1,0,0,0,0,1186,8
3,1015,4,14,0,0,0,0,5,0,2,0,0,0,17,7
4,2604,3,0,0,0,0,0,6,0,2,0,1,0,86,1
5,870,1,140,0,0,0,0,7,0,2,0,2,0,668,4
6,7,1,0,0,0,0,0,802,5,9,0,0,0,0,2
7,1,2,0,1,0,1,0,18,275,366,0,0,0,0,0
8,6,7,0,0,2,14,0,3,0,2,1,0,0,1,0
9,2,4,0,0,1,4,0,0,0,0,0,1,23,1,0
10,1,3,0,0,0,580,0,0,0,0,0,4,0,1,0
11,0,0,0,1,111,1,0,0,0,0,0,0,1,0,0
12,37,16,3,0,0,0,1,9,7,2,1,30,0,24,587
13,0,1,0,1849,0,1,2,0,0,5,1,1,1,1,0
14,2,0,0,0,0,1,150,1,0,0,0,1,0,0,0
