true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,22,888,135,0,0,0,0,1,0,22,7,0,4,0,3
1,0,1,3,0,0,0,0,0,2,2,1,670,4,0,7
2,0,3,342,0,1,0,0,0,0,3,2,1,2,0,0
3,465,120,16,0,2,0,0,325,2,10,5,0,1,0,2
4,0,2,16,0,2,227,0,0,1,2,1,0,48,0,1
5,0,1,1465,0,0,0,0,0,1,9,1,0,44,0,3
6,3,3,362,0,0,0,0,1,1,6,1,1,13,0,5
7,2,2,45,0,0,0,3,0,2,1348,328,1,17,0,3
8,1,2,37,0,0,0,243,0,325,17,208,1,13,0,7
9,0,3,0,0,2,0,0,0,0,22,238,0,0,0,1
10,1,6,45,0,730,0,1,0,0,34,327,2,5,0,2
11,0,13,1414,0,0,0,0,0,2,35,26,27,1047,0,5
12,0,169,290,0,0,0,0,0,0,9,7,0,3,0,0
13,0,0,23,139,0,0,0,0,1,5,2,23,13,136,2
14,30,5,159,0,0,0,0,1,1,323,87,0,0,0,199
