variant,n_runs,n_datasets,ari_mean,ari_median,nmi_mean,acc_mean,rank_ari_mean,rank_ari_median,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate,enabled_graph_mean_gain
rdg_gene_only,12,4,0.7086765734823279,0.8236919587305379,0.8035530530450848,0.8216343697104206,2.125,1.25,12,0,0,0.32100667736065674,0.0,0.015143432455037797,0.0,1.0,0.32100667736065674
safe_rdg_calibrated_logistic_explore,12,4,0.6722456315107096,0.7806165379074341,0.755738759405615,0.8117814121971708,3.9166666666666665,4.0,9,3,0,0.28457573538903824,0.0,0.05157437442665628,0.0,0.75,0.379434313852051
safe_rdg_calibrated_threshold,12,4,0.6143600918741635,0.7658937368138354,0.7147329608777176,0.7985622365134505,4.041666666666667,4.0,11,0,1,0.22669019575249216,0.07854689624827,0.10945991406320237,0.08333333333333333,1.0,0.22669019575249216
rdg_always_on,12,4,0.6143600918741635,0.7658937368138354,0.7147329608777179,0.7985622365134505,4.0,3.75,11,0,1,0.22669019575249216,0.07854689624827002,0.10945991406320238,0.08333333333333333,1.0,0.22669019575249216
rdg_concat_kmeans,12,4,0.5577053038766911,0.5979158133413844,0.6843760708674741,0.7151989937111547,5.666666666666667,6.0,10,0,2,0.17003540775501982,0.0033812578945896996,0.16611470206067472,0.16666666666666666,0.0,
safe_rdg_heuristic,12,4,0.4550412584946169,0.4765036456892847,0.5665016610952154,0.7684861410999716,5.041666666666667,3.0,9,0,3,0.06737136237294555,0.2225180782652824,0.268778747442749,0.25,1.0,0.06737136237294555
pca_kmeans,12,4,0.3876698961216713,0.24546370019953484,0.49037413576527533,0.5947199826335006,8.125,7.5,0,12,0,0.0,0.0,0.33615010981569454,0.0,0.0,
neg_random_cell_graph,12,4,0.31120600483679095,0.24716759658396614,0.38820090174828925,0.5993802612416606,9.083333333333334,9.0,5,0,7,-0.0764638912848803,0.1795838222521954,0.41261400110057483,0.5833333333333334,1.0,-0.0764638912848803
neg_degree_shuffle_graph,12,4,0.2668985361587796,0.17744817548716765,0.3395484160933313,0.6084289495713993,8.75,8.5,6,0,6,-0.12077135996289172,0.24760702851923935,0.4569214697785862,0.5,1.0,-0.12077135996289172
rdg_cell_only,12,4,0.25373463998996293,0.19935884891253985,0.38256621385986406,0.6128714197933337,8.5,8.25,5,0,7,-0.1339352561317084,0.27613109628697935,0.47008536594740297,0.5833333333333334,1.0,-0.1339352561317084
pca_spectral_kmeans,12,4,0.23741755569997014,0.19397621411474944,0.37243682856978083,0.6040297846911905,9.0,9.25,5,0,7,-0.15025234042170119,0.2654248135990123,0.48640245023739564,0.5833333333333334,0.0,
neg_shuffled_gene_cell_graph,12,4,0.1039379954408196,0.0578623516878395,0.1345718133670784,0.407801732262914,9.75,10.0,1,0,11,-0.2837319006808517,0.2860454583507183,0.6198820104965462,0.9166666666666666,1.0,-0.2837319006808517
