true,0,1,2,3,4,5,6,7,8
0,2,0,0,0,510,0,0,0,0
1,0,0,0,0,0,56,0,0,0
2,57,907,1,1,1,0,0,0,0
3,1040,108,0,3,2,0,0,0,0
4,0,0,0,0,0,0,0,0,62
5,0,0,0,1,0,0,119,0,0
6,46,0,0,0,0,0,0,0,0
7,1,1,469,611,0,2,2,165,0
8,36,32,6,14,170,20,37,10,21
