dataset,variant,method_name,cluster_method,count_success,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,f1_macro_mean,f1_macro_std,fmi_mean,fmi_std,v_measure_mean,v_measure_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std
Limb_Muscle,apa_v2_A_random_student,apa_v2_A_random_student,kmeans_known_k,3,0.7262727040163725,0.03746429853402588,0.5796814379208419,0.03100778236560146,0.6380398849994768,0.05978483431780319,0.5944854351257179,0.052671939325266065,0.7222649174900652,0.04630715427367196,0.5796814379208419,0.03100778236560146,0.5815074155795491,0.029465792222544935,0.5778747553196087,0.032544064969901636
Limb_Muscle,apa_v2_A_random_student,apa_v2_A_random_student,leiden_fixed,3,0.27065745715016626,0.0060321443451274576,0.4642503483178501,0.011785943981167257,0.13932207484882594,0.01042543796915732,0.3184194243173582,0.003491765459108132,,,,,,,,
Limb_Muscle,apa_v2_B_vicreg,apa_v2_B_vicreg,kmeans_known_k,3,0.6434723288138484,0.08489264402788459,0.5445230090107102,0.04995859056931124,0.5450946204941471,0.11361576210970126,0.4994447200344012,0.10450416531126076,0.6525521190694624,0.0821549034100739,0.5445230090107102,0.04995859056931126,0.5438611560821893,0.05827513704150972,0.5457475183095659,0.0444589981403098
Limb_Muscle,apa_v2_B_vicreg,apa_v2_B_vicreg,leiden_fixed,3,0.25496716977914213,0.026468810630846273,0.4255858290484952,0.03247624753649989,0.1230094787556278,0.028004720084332177,0.2868295664927661,0.05023414848559089,,,,,,,,
Limb_Muscle,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,kmeans_known_k,3,0.6010062249509679,0.033071422390734136,0.5548082552086494,0.06831322917460696,0.4949319406840303,0.029933251840695615,0.46156800186099545,0.057878348191213,0.6151157262015052,0.016892957148332433,0.5548082552086493,0.06831322917460693,0.5519458468579619,0.0716894869850252,0.5578844931973804,0.0660048452766723
Limb_Muscle,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,leiden_fixed,3,0.26818453142321136,0.024699982377910858,0.45577801684093155,0.033097360831897536,0.13000558420643188,0.019336974442801937,0.3164310579994803,0.044636954651635294,,,,,,,,
Limb_Muscle,apa_v2_D_proto,apa_v2_D_proto,kmeans_known_k,3,0.6255649356186578,0.084366414925616,0.48415407676336386,0.031402821815525714,0.4475023724808226,0.1284702613077009,0.4176723025772217,0.11463294132933424,0.6151182808795073,0.08277795463317288,0.4841540767633638,0.03140282181552573,0.43385604380768183,0.046765483843947575,0.5505883888504302,0.02922044472463838
Limb_Muscle,apa_v2_D_proto,apa_v2_D_proto,leiden_fixed,3,0.23057900571331116,0.04743809756605604,0.41307036298562666,0.04544871708588263,0.11509413502545675,0.03162553530945068,0.24419780810816183,0.06605154193154777,,,,,,,,
Limb_Muscle,apa_v2_E_full_generator,apa_v2_E_full_generator,kmeans_known_k,3,0.6299991472669907,0.06641290301426295,0.595672578831925,0.06239998711178644,0.5554457490091932,0.07178378695604506,0.48713042736689494,0.0914275093459243,0.6615879345259434,0.05129473740009895,0.595672578831925,0.06239998711178642,0.591600169181341,0.06492270188348225,0.6005718655848539,0.06441948847498752
Limb_Muscle,apa_v2_E_full_generator,apa_v2_E_full_generator,leiden_fixed,3,0.3011852988829197,0.005028233303591897,0.48563974501513496,0.012653570635064403,0.15199853356675302,0.007216179357384271,0.37746771838044807,0.014498981975032393,,,,,,,,
Quake_10x_Spleen,apa_v2_A_random_student,apa_v2_A_random_student,kmeans_known_k,3,0.4445142378559464,0.10691106292569727,0.07124284557958764,0.05013008414166603,0.0752265852862192,0.05297931051854563,0.2380589995579259,0.04031645160111002,0.4595770951350291,0.07412636493734803,0.07124284557958764,0.05013008414166605,0.09598249826288699,0.07012369991167273,0.056752410084239695,0.03894106660610945
Quake_10x_Spleen,apa_v2_A_random_student,apa_v2_A_random_student,leiden_fixed,3,0.7173017867113345,0.013788262092904216,0.09799942091496103,0.0584630987847038,0.008167140323729278,0.0056421639522120535,0.26515285985122716,0.061100246085088905,,,,,,,,
Quake_10x_Spleen,apa_v2_B_vicreg,apa_v2_B_vicreg,kmeans_known_k,3,0.5568467336683417,0.05197977655595079,0.4377532490849428,0.03533988254318621,0.3157468875346479,0.051424092374385666,0.38609105929876353,0.020221754305698725,0.6071517356749061,0.040985274166000396,0.4377532490849428,0.03533988254318618,0.5756016981291839,0.027508724849816975,0.35346155800121565,0.03610520306684142
Quake_10x_Spleen,apa_v2_B_vicreg,apa_v2_B_vicreg,leiden_fixed,3,0.7480108877721943,0.013600048106411189,0.2424164724416869,0.019337534004490557,0.023495861044551865,0.0057211274200579575,0.3628933648606902,0.03420023305710948,,,,,,,,
Quake_10x_Spleen,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,kmeans_known_k,3,0.5364670575097711,0.09237527142709817,0.11975927715876897,0.1007426250185707,0.0725846255789524,0.12206030330271452,0.24233584994984256,0.0713237972756204,0.5583613861200767,0.10405806371601053,0.11975927715876897,0.1007426250185707,0.1204238775713938,0.08001399912946366,0.12361130186900776,0.12232500250862045
Quake_10x_Spleen,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,leiden_fixed,3,0.7020868230039085,0.013407830251334862,0.07358966835438402,0.0287168466198596,0.006078507135713332,0.00258747536873524,0.2913590410011037,0.043963405434928625,,,,,,,,
Quake_10x_Spleen,apa_v2_D_proto,apa_v2_D_proto,kmeans_known_k,3,0.6216150195421553,0.17795922983569823,0.26293150685994066,0.21974896365127414,0.261885707668451,0.3007430381615125,0.332913975992773,0.06524046337265504,0.5992500802877601,0.19037014298730126,0.2629315068599407,0.21974896365127417,0.30295120456736546,0.2286779525055856,0.2347014700019309,0.21119033374946047
Quake_10x_Spleen,apa_v2_D_proto,apa_v2_D_proto,leiden_fixed,3,0.7192908989391401,0.02643427188195643,0.16813659118034557,0.08647046864945847,0.01554641784401626,0.010351258484683632,0.33139270747367156,0.024466653999056228,,,,,,,,
Quake_10x_Spleen,apa_v2_E_full_generator,apa_v2_E_full_generator,kmeans_known_k,3,0.6239879955332217,0.14507664439766793,0.3355665255993142,0.20757581953808535,0.3251226705501439,0.2107344144535434,0.36452726331603447,0.050642067203119555,0.6190875801031642,0.14604583603257232,0.3355665255993142,0.20757581953808538,0.4266557351611344,0.2569182426596733,0.27699376791151953,0.17474219063051274
Quake_10x_Spleen,apa_v2_E_full_generator,apa_v2_E_full_generator,leiden_fixed,3,0.730248464544947,0.016633653075609534,0.17103067585311968,0.09979947245578497,0.01756624071352097,0.013357146748719517,0.3120340319360303,0.04722604553112299,,,,,,,,
Guo,apa_v2_A_random_student,apa_v2_A_random_student,kmeans_known_k,3,0.2501797637390858,0.051958340242546606,0.3380443786967104,0.1556181064863412,0.11712452570257575,0.09040187737457996,0.17271647593581355,0.03991957688147498,0.25774624576788485,0.06593809714384637,0.3380443786967104,0.15561810648634117,0.3308835862991404,0.154572152254574,0.3468593998696114,0.1593232082281024
Guo,apa_v2_A_random_student,apa_v2_A_random_student,leiden_fixed,3,0.14663585002568053,0.0578459490000454,0.28741933140192,0.13907774323515293,0.060502850746874726,0.046100937201794034,0.172185046902012,0.08432520761496685,,,,,,,,
