variant,mean_ari,mean_delta_ari,worst_delta_ari,mean_f1_macro,mean_delta_f1,mean_rank,n_runs
truncated_normal_beta_mean0.05_std0.02,0.6605636256174932,0.0708617757848261,-0.15836918506746978,0.720492919300729,0.016190247462952508,2.2777777777777777,18
uniform_beta_0.1,0.6562060280246164,0.0665041781919493,-0.11825849598405574,0.7188986640913897,0.014595992253613133,2.5555555555555554,18
beta_distribution_mean0.05_lowvar,0.6350438940860967,0.045342044253429685,-0.11295829090498688,0.7087102514902596,0.004407579652483013,3.111111111111111,18
fixed_beta_0.05,0.5924529499712458,0.0027511001385786857,-0.13538073806269257,0.6932126540326836,-0.011090017805092889,3.5555555555555554,18
bernoulli_beta_0_or_0.1_p0.5,0.5853566508155674,-0.0043451990170995936,-0.11309968690823036,0.7095910587019048,0.0052883868641281605,3.5,18
