neighbor_backend,neighbor_k,effective_neighbor_count,edge_keep_rate,neighbor_similarity_mean,neighbor_similarity_std,mutual_ratio,snn_mean,snn_std,consensus_mean,consensus_std,fallback_rate,fallback_cell_rate,hubness_mean,hubness_max,hubness_p95,knn_pca_dim,bad_edge_ratio_requested,bad_edge_ratio_observed,same_label_edge_ratio,same_label_edge_ratio_weighted,minority_class_neighbor_purity,dataset,seed,method,pseudo_branch_activation_rate,edge_keep_rate_observed,effective_neighbor_count_sampled,perturbation_norm_mean,perturbation_norm_std,perturbation_norm_p95,alpha_mean_observed,beta_mean_observed,beta_mode,beta_fixed,beta_max,beta_target_mean,beta_std,beta_p,target_mode,noise_mode,oracle_neighbor,label_leakage_diagnostic,stage,variant,run_dir,snn_zero_row_fallback_rate
global_random_excluding_self,5,5.000000476837158,1.0,0.069460742175579,0.3908553421497345,0.0009861325115562,0.0003458311839494,0.0061891903169453,0.0,0.0,0.0,0.0,5.0,14.0,9.0,50.0,0.0,0.0,0.1466255778120185,0.1466255486011505,0.0294663682579994,Guo,1,global_random_neighbor_control,1.0,1.0,4.000000015237235,3.4498144794702528,1.436066677927971,6.073912587165832,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,global_random_neighbor_control,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/global_random_neighbor_control/seed1,
global_random_excluding_self,5,5.000000476837158,1.0,0.0662233978509903,0.3905977308750152,0.0008012326656394,0.00039376821951,0.0066027990542352,0.0,0.0,0.0,0.0,5.0,14.0,9.0,50.0,0.0,0.0,0.1455161787365177,0.1455161422491073,0.0354153737425804,Guo,2,global_random_neighbor_control,1.0,1.0,4.000000015237235,3.450942465543747,1.4330312249064443,6.095687300920487,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,global_random_neighbor_control,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/global_random_neighbor_control/seed2,
none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Guo,0,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,nm_scmae_nomix,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/nm_scmae_nomix/seed0,
none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Guo,1,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,nm_scmae_nomix,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/nm_scmae_nomix/seed1,
none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Guo,2,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,nm_scmae_nomix,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/nm_scmae_nomix/seed2,
pca_cosine_knn,5,4.994472026824951,1.0,0.9560685753822328,0.0427916869521141,0.3333744221879815,0.1566529721021652,0.1447712332010269,1.0,0.0,0.0,0.0,5.0,78.0,15.0,50.0,0.0,0.0,0.9518335901386747,0.952261447906494,0.9076267679532368,Guo,0,random_beta_uniform_0.1,1.0,1.0,3.996939646015384,1.090238070309162,0.9492939558327198,3.07683358502388,0.9500173563361168,0.0499826442543417,uniform,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,none,False,full,random_beta_uniform_0.1,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/random_beta_uniform_0.1/seed0,
pca_cosine_knn,5,4.994463920593262,1.0,0.9560303092002868,0.0429082550108432,0.3340523882896764,0.1553142964839935,0.1437475383281707,1.0,0.0,0.0,0.0,5.0,82.0,16.0,50.0,0.0,0.0,0.9514329738058552,0.9518691897392272,0.9027627110481262,Guo,1,random_beta_uniform_0.1,1.0,1.0,3.996934418674087,1.0910131194293498,0.9501477848291398,3.0817223590612413,0.9500070888996124,0.0499929113481193,uniform,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,none,False,full,random_beta_uniform_0.1,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/random_beta_uniform_0.1/seed1,
pca_cosine_knn,5,4.994489192962647,1.0,0.9558459520339966,0.0427838116884231,0.3326964560862866,0.1548590213060379,0.1423371285200119,1.0,0.0,0.0,0.0,5.0,66.0,16.0,50.0,0.0,0.0,0.9522650231124808,0.9526740908622742,0.9084535241127014,Guo,2,random_beta_uniform_0.1,1.0,1.0,3.996964060824266,1.0884337265491486,0.9481305095255376,3.073731717944145,0.950037062048912,0.0499629387054592,uniform,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,none,False,full,random_beta_uniform_0.1,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/random_beta_uniform_0.1/seed2,
snn_jaccard_weighted_knn,5,3.528010606765747,0.752788906009245,0.9560685753822328,0.0427916869521141,0.3333744221879815,0.1566529721021652,0.1447712332010269,0.1566529721021652,0.1447712332010269,0.021879815100154,0.021879815100154,5.0,78.0,15.0,50.0,0.0,0.0,0.9518335901386747,0.9535868763923644,0.906703233718872,Guo,0,snn_neighbormix,1.0,1.0,3.865432571930447,2.2961016567945483,1.301617228925228,4.657243674278259,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,snn_neighbormix,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/snn_neighbormix/seed0,0.021879815100154
snn_jaccard_weighted_knn,5,3.520768642425537,0.7500462249614792,0.9560303092002868,0.0429082550108432,0.3340523882896764,0.1553142964839935,0.1437475383281707,0.1553142964839935,0.1437475383281707,0.0221879815100154,0.0221879815100154,5.0,82.0,16.0,50.0,0.0,0.0,0.9514329738058552,0.9519935846328736,0.8997493783632914,Guo,1,snn_neighbormix,1.0,1.0,3.8673997784868535,2.297210173606872,1.2998171057701111,4.660870718717575,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,none,False,full,snn_neighbormix,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/snn_neighbormix/seed1,0.0221879815100154
