dataset,method,seed,variant,ablation_method,neighbor_backend,pseudo_weight,pseudo_gate_p,edge_dropout_keep,alpha_mean,beta_mean,beta_mode,beta_fixed,beta_max,beta_target_mean,beta_std,beta_p,target_mode,noise_mode,bad_edge_ratio,oracle_neighbor,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,stage,run_dir,group,nomix_ari,nomix_f1_macro,delta_ari_vs_nomix,delta_f1_vs_nomix,ari_rank
Guo,global_random_neighbor_control,1,global_random_neighbor_control,global_random_neighbor_control,global_random_excluding_self,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.888597842835131,0.8605737838042863,0.8498359680536688,0.8210421616409737,0.8714359697558021,0.8605737838042863,0.870336548809463,0.851027611583697,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/global_random_neighbor_control/seed1,neutral,0.8386476962743222,0.8341045832709125,0.01118827177934656,-0.01306242162993887,6.0
Guo,global_random_neighbor_control,2,global_random_neighbor_control,global_random_neighbor_control,global_random_excluding_self,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8494607087827427,0.8374210238347837,0.8061598736424783,0.7695833282104569,0.8339098982501912,0.8374210238347838,0.8434560848640794,0.8314717128731688,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/global_random_neighbor_control/seed2,neutral,0.8312158272070158,0.7820204092535549,-0.025055953564537492,-0.01243708104309793,8.0
Guo,nm_scmae_nomix,0,nm_scmae_nomix,nm_scmae_nomix,none,0.0,1.0,1.0,1.0,0.0,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8736517719568567,0.8565963587218847,0.8419856832113954,0.8353301520712294,0.8646890367804623,0.8565963587218847,0.8636491222800587,0.8496578512015498,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/nm_scmae_nomix/seed0,neutral,0.8419856832113954,0.8353301520712294,0.0,0.0,4.0
Guo,nm_scmae_nomix,1,nm_scmae_nomix,nm_scmae_nomix,none,0.0,1.0,1.0,1.0,0.0,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8727272727272727,0.8518952494458167,0.8386476962743222,0.8341045832709125,0.8618460531855424,0.8518952494458167,0.857899909868531,0.8459740610824757,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/nm_scmae_nomix/seed1,neutral,0.8386476962743222,0.8341045832709125,0.0,0.0,8.0
Guo,nm_scmae_nomix,2,nm_scmae_nomix,nm_scmae_nomix,none,0.0,1.0,1.0,1.0,0.0,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8651771956856703,0.8475680580958956,0.8312158272070158,0.7820204092535549,0.8554414733893893,0.8475680580958955,0.8531597439811285,0.8420491917716013,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/nm_scmae_nomix/seed2,neutral,0.8312158272070158,0.7820204092535549,0.0,0.0,4.0
Guo,random_beta_uniform_0.1,0,random_beta_uniform_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9500173563361168,0.0499826442543417,uniform,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8730354391371341,0.8562918999444664,0.8449716895423325,0.8068809678050997,0.8672973117522332,0.8562918999444665,0.8655027435433355,0.8472750390184401,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/random_beta_uniform_0.1/seed0,neutral,0.8419856832113954,0.8353301520712294,0.002986006330937041,-0.028449184266129746,2.0
Guo,random_beta_uniform_0.1,1,random_beta_uniform_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9500070888996124,0.0499929113481193,uniform,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.901848998459168,0.8688892376168649,0.8675846315075598,0.8627802545706321,0.8868354775288733,0.8688892376168649,0.8719806532963597,0.8658196643689645,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/random_beta_uniform_0.1/seed1,neutral,0.8386476962743222,0.8341045832709125,0.028936935233237593,0.028675671299719596,2.0
Guo,random_beta_uniform_0.1,2,random_beta_uniform_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.950037062048912,0.0499629387054592,uniform,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8705701078582434,0.8528181168588098,0.8348123306456734,0.8483301173747023,0.8585283563956544,0.8528181168588098,0.8593968003768474,0.8463393878490356,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/random_beta_uniform_0.1/seed2,neutral,0.8312158272070158,0.7820204092535549,0.0035965034386575834,0.06630970812114745,2.0
Guo,snn_neighbormix,0,snn_neighbormix,snn_neighbormix,snn_jaccard_weighted_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8676425269645609,0.8504556117114322,0.837152287311294,0.827341921672368,0.8605484589537152,0.8504556117114322,0.8571334949370699,0.8438809781662284,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/snn_neighbormix/seed0,neutral,0.8419856832113954,0.8353301520712294,-0.004833395900101456,-0.007988230398861429,6.0
Guo,snn_neighbormix,1,snn_neighbormix,snn_neighbormix,snn_jaccard_weighted_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8901386748844375,0.8645261442932788,0.8560563297518322,0.821238096923214,0.8767655813696948,0.8645261442932787,0.8741209648130729,0.8551396726167099,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/snn_neighbormix/seed1,neutral,0.8386476962743222,0.8341045832709125,0.017408633477509983,-0.012866486347698491,5.0
