stage,variant,group,mean_ari,mean_delta_ari,median_delta_ari,worst_delta_ari,mean_f1_macro,mean_delta_f1,mean_rank,n_runs
full,random_beta_uniform_0.1,optional,0.9248624289491302,0.028229030477934253,0.002783390906305694,-0.008021734232982025,0.8681632985122426,0.009013381936462913,3.9166666666666665,6
full,random_beta_uniform_0.1,positive,0.8230848561201558,0.17263632046861385,0.18033392912621593,-0.005474830662580588,0.7783751216649798,0.028839136449454777,3.0,6
full,snn_neighbormix,negative,0.4791411921804925,0.012464205915378957,0.0014059310081485643,-0.16541364755520055,0.6497833157836708,0.013252533873545032,4.444444444444445,9
full,snn_neighbormix,neutral,0.8356797908761253,-0.0016032780214525106,-0.004833395900101456,-0.01738507164176606,0.823902312853638,0.006750597988405753,6.0,3
full,snn_neighbormix,optional,0.9245289949491006,0.027895596477904776,0.003372828292506902,-0.006499286261850479,0.8702046385425336,0.011054721966753797,4.25,6
full,snn_neighbormix,positive,0.6687313504448295,0.01828281479328751,-0.0031205471105075766,-0.025175109080427083,0.7093734011299313,-0.04016258408559359,5.5,6
full,truncated_normal_beta_mean0.05_std0.02,negative,0.49843401438201695,0.03175702811690341,0.015426266494786622,-0.15836918506746978,0.6588108647847083,0.022280082874582646,3.2222222222222223,9
full,truncated_normal_beta_mean0.05_std0.02,neutral,0.8490489579972259,0.011765889099648152,0.0031299150557632105,0.002649149603565659,0.8262221626400875,0.009070447774855217,1.6666666666666667,3
full,truncated_normal_beta_mean0.05_std0.02,optional,0.9263296888213931,0.029696290350197257,0.002943976662176939,-0.002106068370471781,0.866780763622871,0.007630847047091234,3.0833333333333335,6
full,truncated_normal_beta_mean0.05_std0.02,positive,0.809515376280841,0.1590668406292991,0.13956302808366078,-0.006557509776241477,0.7601513794050808,0.010615394189555946,2.6666666666666665,6
stage1,fixed_beta_0.025,negative,0.48114877035321524,0.014471784088101687,0.010342970499103377,-0.02137385541567427,0.6503752006982032,0.013844418788077541,3.888888888888889,9
stage1,fixed_beta_0.025,neutral,0.8320287820844396,-0.005254286813138183,-0.007707533149308832,-0.02537644838596398,0.8073026050309483,-0.009849109834284034,7.666666666666667,3
stage1,fixed_beta_0.025,positive,0.6691551504114233,0.01870661475988139,0.00026302409744616284,-0.014742337675135109,0.7352041847593839,-0.014331800456141039,4.5,6
stage1,fixed_beta_0.05,negative,0.45712525165483014,-0.009551734610283406,-0.0006305912786057077,-0.13538073806269257,0.6305107106723367,-0.006020071237788965,4.777777777777778,9
stage1,fixed_beta_0.05,neutral,0.8376258966964562,0.0003428277988782498,-0.0009555344602812932,-0.016704580731051855,0.7998980932212754,-0.01725362164395694,5.666666666666667,3
stage1,fixed_beta_0.05,positive,0.672858024083264,0.022409488431722042,0.0011042044435461418,-0.02169386532855122,0.7339228494789082,-0.015613135736616749,4.0,6
stage1,fixed_beta_0.1,negative,0.4795413677121307,0.012864381447017119,0.0019031695533751058,-0.07347894488000078,0.6398686110657686,0.003337829155642982,4.333333333333333,9
stage1,fixed_beta_0.1,neutral,0.8390592686398133,0.001776199742235418,0.00019623277579960963,-0.016987693533332182,0.7999964928372177,-0.017155222028014634,5.0,3
stage1,fixed_beta_0.1,positive,0.670817850998693,0.020369315347151123,0.001462241615957982,-0.01700332106027247,0.7577816419763844,0.008245656760859458,4.333333333333333,6
stage1,fixed_beta_0.2,negative,0.4563526744471385,-0.010324311817975008,-0.004587139078004454,-0.0941669603659872,0.6471126982535488,0.010581916343423167,5.888888888888889,9
stage1,fixed_beta_0.2,neutral,0.8434751759304598,0.0061921070328820145,-0.0030164647260657595,-0.005170168840551659,0.8205500086488269,0.003398293783594649,5.0,3
stage1,fixed_beta_0.2,positive,0.6588639762805424,0.008415440629000478,0.002815522254207059,-0.013140385326828152,0.7350749410113395,-0.014461044204185388,3.6666666666666665,6
stage1,nm_scmae_nomix,negative,0.46667698626511356,0.0,0.0,0.0,0.6365307819101257,0.0,5.0,9
stage1,nm_scmae_nomix,neutral,0.8372830688975778,0.0,0.0,0.0,0.8171517148652323,0.0,4.666666666666667,3
stage1,nm_scmae_nomix,positive,0.6504485356515419,0.0,0.0,0.0,0.749535985215525,0.0,4.833333333333333,6
stage1,random_beta_uniform_0.05,negative,0.5039170656637123,0.037240079398598754,0.016123972337509507,-0.1380901988466785,0.6655004026350061,0.028969620724880445,3.3333333333333335,9
stage1,random_beta_uniform_0.05,neutral,0.845195586839074,0.007912517941496167,-0.0007342161722521112,-0.0018476269464144934,0.8211685651026753,0.004016850237443026,4.666666666666667,3
stage1,random_beta_uniform_0.05,positive,0.805193365364265,0.15474482971272308,0.1307215066389515,-0.005315601448439122,0.7441895478812466,-0.005346437334278383,4.5,6
stage1,random_beta_uniform_0.1,negative,0.48064785733628823,0.01397087107117468,0.006298718410773674,-0.11825849598405574,0.6391037648783002,0.0025729829681744925,3.888888888888889,9
stage1,random_beta_uniform_0.1,neutral,0.8491228838985219,0.011839815000944073,0.0035965034386575834,0.002986006330937041,0.8393304465834781,0.022178731718245765,1.6666666666666667,3
stage1,random_beta_uniform_0.1,positive,0.8230848561201558,0.17263632046861385,0.18033392912621593,-0.005474830662580588,0.7783751216649798,0.028839136449454777,3.1666666666666665,6
stage1,random_beta_uniform_0.2,negative,0.4535820245625476,-0.01309496170256599,0.013509705611650658,-0.17659818512908,0.6444702495419572,0.007939467631831546,4.888888888888889,9
stage1,random_beta_uniform_0.2,neutral,0.851021486564549,0.013738417666971222,0.00446054000064855,-0.00010191044512675163,0.8063157433486396,-0.010835971516592583,1.6666666666666667,3
stage1,random_beta_uniform_0.2,positive,0.6370453286218277,-0.013403207029714204,-0.004376511946110939,-0.15326673841336036,0.7224772569037033,-0.027058728311821562,7.0,6
stage2,bernoulli_beta_0_or_0.1_p0.5,negative,0.44520426613125735,-0.021472720133856142,-0.0044219368204901355,-0.11309968690823036,0.650866996790731,0.014336214880605424,3.4444444444444446,9
stage2,bernoulli_beta_0_or_0.1_p0.5,neutral,0.8398901135217276,0.0026070446241497716,-0.006029407153327004,-0.00897886115574964,0.8088434794187015,-0.00830823544653081,4.333333333333333,3
stage2,bernoulli_beta_0_or_0.1_p0.5,positive,0.6683184964889525,0.017869960837410548,-0.0008950525725180403,-0.014033929449679627,0.7480509412102667,-0.0014850440052582476,3.1666666666666665,6
stage2,beta_distribution_mean0.05_lowvar,negative,0.4817583026881378,0.015081316423024202,0.013533387309587974,-0.11295829090498688,0.659339381281742,0.022808599371616316,3.111111111111111,9
stage2,beta_distribution_mean0.05_lowvar,neutral,0.8485060033143923,0.011222934416814434,0.00031306142591458475,-0.0007017801839050986,0.8049818689966141,-0.01216984586861817,2.3333333333333335,3
stage2,beta_distribution_mean0.05_lowvar,positive,0.7582412265688875,0.10779269091734554,-0.002204309290057549,-0.015634352032394827,0.7346307480498586,-0.014905237165666349,3.5,6
stage2,fixed_beta_0.05,negative,0.45712525165483014,-0.009551734610283406,-0.0006305912786057077,-0.13538073806269257,0.6305107106723367,-0.006020071237788965,3.2222222222222223,9
stage2,fixed_beta_0.05,neutral,0.8376258966964562,0.0003428277988782498,-0.0009555344602812932,-0.016704580731051855,0.7998980932212754,-0.01725362164395694,4.666666666666667,3
stage2,fixed_beta_0.05,positive,0.672858024083264,0.022409488431722042,0.0011042044435461418,-0.02169386532855122,0.7339228494789082,-0.015613135736616749,3.5,6
stage2,truncated_normal_beta_mean0.05_std0.02,negative,0.49843401438201695,0.03175702811690341,0.015426266494786622,-0.15836918506746978,0.6588108647847083,0.022280082874582646,2.4444444444444446,9
stage2,truncated_normal_beta_mean0.05_std0.02,neutral,0.8490489579972259,0.011765889099648152,0.0031299150557632105,0.002649149603565659,0.8262221626400875,0.009070447774855217,1.6666666666666667,3
stage2,truncated_normal_beta_mean0.05_std0.02,positive,0.809515376280841,0.1590668406292991,0.13956302808366078,-0.006557509776241477,0.7601513794050808,0.010615394189555946,2.3333333333333335,6
stage2,uniform_beta_0.1,negative,0.48064785733628823,0.01397087107117468,0.006298718410773674,-0.11825849598405574,0.6391037648783002,0.0025729829681744925,2.7777777777777777,9
stage2,uniform_beta_0.1,neutral,0.8491228838985219,0.011839815000944073,0.0035965034386575834,0.002986006330937041,0.8393304465834781,0.022178731718245765,2.0,3
stage2,uniform_beta_0.1,positive,0.8230848561201558,0.17263632046861385,0.18033392912621593,-0.005474830662580588,0.7783751216649798,0.028839136449454777,2.5,6
stage3,anchor_target_local_mix,negative,0.49843401438201695,0.03175702811690341,0.015426266494786622,-0.15836918506746978,0.6588108647847083,0.022280082874582646,2.111111111111111,9
stage3,anchor_target_local_mix,neutral,0.8490489579972259,0.011765889099648152,0.0031299150557632105,0.002649149603565659,0.8262221626400875,0.009070447774855217,2.0,3
stage3,anchor_target_local_mix,positive,0.809515376280841,0.1590668406292991,0.13956302808366078,-0.006557509776241477,0.7601513794050808,0.010615394189555946,1.8333333333333333,6
stage3,gaussian_noise_matched_anchor_target,negative,0.511139951046575,0.04446296478146138,0.01250663518670192,-0.277847647551949,0.6255975225356242,-0.010933259374501483,2.7777777777777777,9
stage3,gaussian_noise_matched_anchor_target,neutral,0.8389117538200802,0.0016286849225024176,0.005315870699090786,-0.006041483109941015,0.7877558235564557,-0.029395891308776585,3.0,3
stage3,gaussian_noise_matched_anchor_target,positive,0.7955965715777805,0.14514803592623862,0.11547821631504263,-0.02377265531502004,0.7499744564520802,0.00043847123655517867,2.8333333333333335,6
stage3,global_random_mix_anchor_target,negative,0.4423412803165734,-0.024335705948540152,0.01591629713330034,-0.18414216291807556,0.6405275179971437,0.003996736087017967,2.6666666666666665,9
stage3,global_random_mix_anchor_target,neutral,0.8456025543670043,0.008319485469426513,0.00403985968585685,-0.004937354309613284,0.7990700491490923,-0.018081665716139894,2.3333333333333335,3
stage3,global_random_mix_anchor_target,positive,0.7648358989786637,0.11438736332712168,0.038693454655320314,-0.030874891362625334,0.7523275989969832,0.002791613781458276,3.3333333333333335,6
stage3,mixed_target_local_mix,negative,0.5057224302025983,0.0390454439374848,0.004242241177014772,-0.1499649379621663,0.6453984003686669,0.00886761845854125,2.4444444444444446,9
stage3,mixed_target_local_mix,neutral,0.8472758459789208,0.009992777081342904,0.0031908926823274175,0.001220568765964103,0.8291491821821199,0.011997467316887703,2.6666666666666665,3
stage3,mixed_target_local_mix,positive,0.7622669636606201,0.11181842800907822,-0.00032780980837615603,-0.012996948068835446,0.7607153740126612,0.011179388797136314,2.0,6
stage4,fixed_beta_0.05_bad0,negative,0.45712525165483014,-0.009551734610283406,-0.0006305912786057077,-0.13538073806269257,0.6305107106723367,-0.006020071237788965,6.888888888888889,9
stage4,fixed_beta_0.05_bad0.1,negative,0.4841965630258872,0.01751957676077369,0.010693629105478553,-0.08087113814995839,0.6386852532948066,0.0021544713846809883,7.111111111111111,9
stage4,fixed_beta_0.05_bad0.2,negative,0.4861322662325453,0.019455279967431793,0.0024535893068584613,-0.070065235458797,0.6414766697807137,0.004945887870588078,6.222222222222222,9
stage4,fixed_beta_0.05_bad0.4,negative,0.4668364414771897,0.00015945521207613413,-0.0004947268613524347,-0.08175460161108439,0.6547288712387247,0.018198089328599096,7.222222222222222,9
stage4,fixed_beta_0.1_bad0,negative,0.4795413677121307,0.012864381447017119,0.0019031695533751058,-0.07347894488000078,0.6398686110657686,0.003337829155642982,5.888888888888889,9
stage4,fixed_beta_0.1_bad0.1,negative,0.4813574636095631,0.014680477344449562,0.0002552381089541145,-0.049592819413894706,0.6499592810403925,0.013428499130266829,6.777777777777778,9
stage4,fixed_beta_0.1_bad0.2,negative,0.4978356500789814,0.0311586638138679,-7.143923290453547e-05,-0.07190031971859401,0.655291463835044,0.018760681924918372,7.0,9
stage4,fixed_beta_0.1_bad0.4,negative,0.4360000397619378,-0.03067694650317577,-0.0019529715268350456,-0.19430881761258806,0.5940760930692238,-0.042454688840901894,9.444444444444445,9
stage4,random_beta_uniform_0.1_bad0,negative,0.48064785733628823,0.01397087107117468,0.006298718410773674,-0.11825849598405574,0.6391037648783002,0.0025729829681744925,5.666666666666667,9
stage4,random_beta_uniform_0.1_bad0.1,negative,0.4989477009565879,0.03227071469147436,0.01573920987717703,-0.1256753814009926,0.632471979302742,-0.004058802607383671,4.777777777777778,9
stage4,random_beta_uniform_0.1_bad0.2,negative,0.4569095246382118,-0.009767461626901841,0.0152390211242317,-0.20596159528820868,0.6352889105234267,-0.0012418713866989685,6.111111111111111,9
stage4,random_beta_uniform_0.1_bad0.4,negative,0.48722981032407,0.020552824058956413,0.0050750402177581755,-0.11682706382504071,0.6539015145918781,0.017370732681752363,4.888888888888889,9
