stage,variant,group,mean_ari,mean_delta_ari,median_delta_ari,worst_delta_ari,mean_f1_macro,mean_delta_f1,mean_rank,n_runs
full,fixed_beta_0.05,negative,0.45712525165483014,-0.009551734610283406,-0.0006305912786057077,-0.13538073806269257,0.6305107106723367,-0.006020071237788965,4.777777777777778,9
full,fixed_beta_0.05,neutral,0.8376258966964562,0.0003428277988782498,-0.0009555344602812932,-0.016704580731051855,0.7998980932212754,-0.01725362164395694,4.666666666666667,3
full,fixed_beta_0.05,optional,0.9217913185597814,0.025157920088585455,-0.0017154595511118531,-0.009892950621143703,0.8664021215244878,0.007252204948708023,5.416666666666667,6
full,fixed_beta_0.05,positive,0.672858024083264,0.022409488431722042,0.0011042044435461418,-0.02169386532855122,0.7339228494789082,-0.015613135736616749,4.0,6
full,fixed_beta_0.1,negative,0.4795413677121307,0.012864381447017119,0.0019031695533751058,-0.07347894488000078,0.6398686110657686,0.003337829155642982,4.444444444444445,9
full,fixed_beta_0.1,neutral,0.8390592686398133,0.001776199742235418,0.00019623277579960963,-0.016987693533332182,0.7999964928372177,-0.017155222028014634,4.0,3
full,fixed_beta_0.1,optional,0.9213837472474756,0.02475034877627974,-0.0010980660620030225,-0.00936560571228262,0.8729538004411403,0.013803883865360578,5.166666666666667,6
full,fixed_beta_0.1,positive,0.670817850998693,0.020369315347151123,0.001462241615957982,-0.01700332106027247,0.7577816419763844,0.008245656760859458,4.0,6
full,gaussian_noise_matched_anchor_target,negative,0.511139951046575,0.04446296478146138,0.01250663518670192,-0.277847647551949,0.6255975225356242,-0.010933259374501483,4.444444444444445,9
full,gaussian_noise_matched_anchor_target,neutral,0.8389117538200802,0.0016286849225024176,0.005315870699090786,-0.006041483109941015,0.7877558235564557,-0.029395891308776585,5.0,3
full,gaussian_noise_matched_anchor_target,optional,0.9059387561719023,0.009305357700706507,0.0019106687783501664,-0.03866102791430659,0.8606787686738467,0.0015288520980669684,4.833333333333333,6
full,gaussian_noise_matched_anchor_target,positive,0.7955965715777805,0.14514803592623862,0.11547821631504263,-0.02377265531502004,0.7499744564520802,0.00043847123655517867,5.0,6
full,global_random_neighbor_control,negative,0.424716612264952,-0.041960374000161525,-0.00680245522086087,-0.1812752991443422,0.5868315125337396,-0.049699269376386135,6.111111111111111,9
full,global_random_neighbor_control,neutral,0.8239311882120113,-0.013351880685566512,-0.025055953564537492,-0.026187960271508604,0.7974350663591814,-0.019716648506050965,7.333333333333333,3
full,global_random_neighbor_control,optional,0.9224563511893334,0.025822952718137466,-0.002205698179444049,-0.028211384742486634,0.8622394531800205,0.0030895366042408092,4.666666666666667,6
full,global_random_neighbor_control,positive,0.6605500177417482,0.010101482090206301,-0.01032040022180758,-0.02576016496201028,0.7451403643948593,-0.004395620820665673,7.166666666666667,6
full,nm_scmae_nomix,negative,0.46667698626511356,0.0,0.0,0.0,0.6365307819101257,0.0,4.666666666666667,9
full,nm_scmae_nomix,neutral,0.8372830688975778,0.0,0.0,0.0,0.8171517148652323,0.0,5.333333333333333,3
full,nm_scmae_nomix,optional,0.8966333984711959,0.0,0.0,0.0,0.8591499165757798,0.0,4.666666666666667,6
full,nm_scmae_nomix,positive,0.6504485356515419,0.0,0.0,0.0,0.749535985215525,0.0,4.666666666666667,6
full,random_beta_uniform_0.1,negative,0.48064785733628823,0.01397087107117468,0.006298718410773674,-0.11825849598405574,0.6391037648783002,0.0025729829681744925,3.888888888888889,9
full,random_beta_uniform_0.1,neutral,0.8491228838985219,0.011839815000944073,0.0035965034386575834,0.002986006330937041,0.8393304465834781,0.022178731718245765,2.0,3
