label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,252,0.009523809523809525,0.00952380895614624,True
1,1091,0.03978001833180568,0.03978000953793526,False
2,792,0.0297979797979798,0.029797974973917007,False
3,558,0.021505376344086023,0.02150537446141243,False
4,535,0.016074766355140185,0.016074763610959053,False
5,817,0.028886168910648716,0.028886165469884872,False
6,398,0.016582914572864323,0.0165829136967659,True
7,2237,0.08797496647295484,0.08797495067119598,False
8,479,0.016701461377870562,0.016701459884643555,False
9,1372,0.05612244897959184,0.056122444570064545,False
10,553,0.02278481012658228,0.022784804925322533,False
11,1702,0.06568742655699178,0.06568741798400879,False
12,1759,0.06503695281409892,0.06503695249557495,False
13,313,0.012140575079872205,0.012140574865043163,True
14,48,0.0,0.0,True
15,2945,0.11368421052631579,0.11368418484926224,False
16,10888,0.40540044085231447,0.4054003655910492,False
17,91,0.004395604395604396,0.00439560366794467,True
