true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,711,0,0,0,0,12,3,5,0,3,0,277,0,0,71
1,0,673,0,0,0,3,6,2,0,1,0,5,0,0,0
2,2,0,0,0,0,19,0,3,0,2,1,327,0,0,0
3,218,0,0,321,0,4,3,4,0,2,2,8,0,0,386
4,1,0,0,0,228,3,1,3,0,0,2,60,0,0,2
5,1,0,0,0,0,1466,3,7,0,1,0,46,0,0,0
6,2,0,0,1,0,325,5,1,0,1,0,47,0,0,14
7,2,1,0,0,0,19,4,1333,2,324,0,62,0,0,4
8,2,1,0,0,0,26,14,20,246,207,0,199,74,0,65
9,0,0,0,0,0,0,1,22,0,238,2,3,0,0,0
10,3,1,0,0,0,9,1,22,1,306,732,71,0,0,7
11,2,39,0,0,0,413,11,22,0,17,0,2057,0,2,6
12,75,0,0,0,0,9,0,6,0,4,0,383,0,0,1
13,0,27,138,0,0,9,3,3,0,2,0,22,0,140,0
14,4,1,0,0,0,57,198,40,0,68,0,89,0,0,348
