true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12,277,0,3,0,0,0,0,711,5,0,3,71,0,0
1,3,5,0,6,0,0,0,0,0,2,0,1,0,673,0
2,19,327,0,0,0,0,1,0,2,3,0,2,0,0,0
3,4,8,321,3,0,0,2,0,218,4,0,2,386,0,0
4,3,60,0,1,0,0,2,0,1,3,228,0,2,0,0
5,1466,46,0,3,0,0,0,0,1,7,0,1,0,0,0
6,325,47,1,5,0,0,0,0,2,1,0,1,14,0,0
7,19,62,0,4,0,0,0,2,2,1333,0,324,4,1,0
8,26,199,0,14,0,0,0,246,2,20,0,207,65,1,74
9,0,3,0,1,0,0,2,0,0,22,0,238,0,0,0
10,9,71,0,1,0,0,732,1,3,22,0,306,7,1,0
11,413,2057,0,11,2,0,0,0,2,22,0,17,6,39,0
12,9,383,0,0,0,0,0,0,75,6,0,4,1,0,0
13,9,22,0,3,140,138,0,0,0,3,0,2,0,27,0
14,57,89,0,198,0,0,0,0,4,40,0,68,348,1,0
