true,0,1,2,3,4,5,6,7,8,9,10,11
0,129,15,334,7,70,26,1,0,3775,0,0,69
1,0,1,9,43,0,0,0,0,0,0,0,1
2,147,2313,190,4,84,13,0,1,20,0,0,3513
3,25,0,40,2,20,1771,0,0,1,0,0,9
4,0,0,4,0,0,1,0,80,0,0,0,0
5,1,0,16,0,5,0,408,0,1,0,0,1
6,0,0,20,0,3,0,227,0,2,0,0,0
7,1,0,0,0,0,0,0,0,2,63,1,0
8,2,3,47,1547,10,2,0,0,2,0,0,11
9,0,1,2,0,0,0,0,0,0,0,59,1
10,3910,14,11126,27,14112,13,7,1,81,1,3,105
11,5,0,15,0,3,0,0,0,0,0,229,0
