true,0,1,2,3,4,5,6,7,8,9,10,11
0,3775,15,69,26,0,1,334,0,7,129,70,0
1,0,1,1,0,0,0,9,0,43,0,0,0
2,20,2313,3513,13,1,0,190,0,4,147,84,0
3,1,0,9,1771,0,0,40,0,2,25,20,0
4,0,0,0,1,80,0,4,0,0,0,0,0
5,1,0,1,0,0,408,16,0,0,1,5,0
6,2,0,0,0,0,227,20,0,0,0,3,0
7,2,0,0,0,0,0,0,63,0,1,0,1
8,2,3,11,2,0,0,47,0,1547,2,10,0
9,0,1,1,0,0,0,2,0,0,0,0,59
10,81,14,105,13,1,7,11126,1,27,3910,14112,3
11,0,0,0,0,0,0,15,0,0,5,3,229
