true,0,1,2,3,4,5,6,7,8,9,10,11
0,1,161,7,72,346,31,15,0,0,0,3792,1
1,0,0,0,0,0,0,0,0,0,54,0,0
2,0,168,6,3480,280,14,2317,0,0,0,20,0
3,0,8,2,10,61,1785,0,0,0,0,2,0
4,0,1,73,1,9,1,0,0,0,0,0,0
5,409,4,0,0,18,0,0,0,0,0,1,0
6,0,0,0,0,9,0,0,242,0,0,1,0
7,0,1,0,0,0,0,0,0,1,0,3,62
8,0,14,1547,8,46,2,4,0,0,1,2,0
9,0,0,0,0,2,0,1,0,59,1,0,0
10,10,8514,29,76,20635,28,19,1,3,0,85,0
11,0,8,0,0,13,0,0,0,231,0,0,0
