label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.9731869254341164,0.8610483506552191,0.9136897626468473,False
1,54,0.0,0.0,0.0,False
2,6285,0.95004095004095,0.5536992840095465,0.6996381182147166,False
3,1868,0.9606430155210643,0.9277301927194861,0.9438997821350763,False
4,85,0.000644080896560608,0.058823529411764705,0.0012742099898063201,False
5,432,0.9672131147540983,0.9560185185185185,0.9615832363213038,False
6,252,0.9959016393442623,0.9642857142857143,0.9798387096774194,False
7,67,0.9552238805970149,0.9552238805970149,0.9552238805970149,False
8,1624,0.8973774230330672,0.9692118226600985,0.9319123741859088,False
9,63,0.0004268032437046522,0.015873015873015872,0.0008312551953449709,False
10,29400,0.9753492745835572,0.49391156462585034,0.6557532514450867,False
11,252,0.7857142857142857,0.9166666666666666,0.8461538461538461,False
