true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,3416,6,0,0,3,1,0,1,1,1,587,0,0,2497
1,0,0,0,0,0,2,6,0,0,0,464,0,0,0,0
2,7,1,0,0,1,1,68,0,0,0,0,0,0,1140,0
3,6,6,0,0,2,499,529,0,4,0,10,0,0,8,0
4,1,3,0,0,3,1114,1556,0,6,0,0,0,0,19,1
5,4,1,0,0,1,500,589,0,7,0,107,0,0,483,2
6,3,1,0,0,20,2,10,0,790,0,0,0,0,0,0
7,0,2,1,1,646,1,0,0,13,0,0,0,0,0,0
8,0,6,0,13,2,1,5,0,3,0,0,1,3,1,1
9,0,4,0,4,0,1,2,22,0,0,0,0,1,2,0
10,0,3,0,580,0,1,0,0,0,0,0,0,0,1,4
11,0,0,1,0,0,0,0,1,0,0,0,0,112,0,0
12,586,14,0,0,10,8,31,0,10,1,3,1,0,22,31
13,0,1,1849,1,5,0,0,1,0,2,0,1,0,1,1
14,0,0,0,1,0,1,1,0,1,150,0,0,0,0,1
