true,0,1,2,3,4,5,6,7,8,9,10,11
0,3792,0,72,31,161,1,0,1,7,15,346,0
1,0,54,0,0,0,0,0,0,0,0,0,0
2,20,0,3480,14,168,0,0,0,6,2317,280,0
3,2,0,10,1785,8,0,0,0,2,0,61,0
4,0,0,1,1,1,0,0,0,73,0,9,0
5,1,0,0,0,4,409,0,0,0,0,18,0
6,1,0,0,0,0,0,242,0,0,0,9,0
7,3,0,0,0,1,0,0,62,0,0,0,1
8,2,1,8,2,14,0,0,0,1547,4,46,0
9,0,1,0,0,0,0,0,0,0,1,2,59
10,85,0,76,28,8514,10,1,0,29,19,20635,3
11,0,0,0,0,8,0,0,0,0,0,13,231
