label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.9708141321044547,0.8567555354722096,0.9102256361017763,False
1,54,0.9642857142857143,1.0,0.9818181818181818,False
2,6285,0.9542089388538525,0.5536992840095465,0.7007652033830044,False
3,1868,0.9591617409994626,0.9555674518201285,0.9573612228479486,False
4,85,0.00011262529564140106,0.011764705882352941,0.00022311468094600624,False
5,432,0.9738095238095238,0.9467592592592593,0.960093896713615,False
6,252,0.9958847736625515,0.9603174603174603,0.9777777777777777,False
7,67,0.9841269841269841,0.9253731343283582,0.9538461538461539,False
8,1624,0.9296875,0.9525862068965517,0.9409975669099757,False
9,63,0.00042444821731748726,0.015873015873015872,0.0008267879288962381,False
10,29400,0.9633969839861805,0.7018707482993197,0.8120978374230111,False
11,252,0.7857142857142857,0.9166666666666666,0.8461538461538461,False
