source_root,dataset_group,dataset,method,variant,seed,epochs,mix_mode,gate_mode,acc,nmi,ari,f1_macro,fmi,delta_ari_vs_none,delta_ari_vs_fixed,path
rg_phase1_seeds2024_3407_e80,positive,Quake_Smart-seq2_Lung,rg_random,rg_nm_v1_random,3407,80,random,constant,0.6533412887828163,0.7727702972412283,0.5997327904415449,0.6011529118061307,0.6928954503209193,0.01898937220325614,-0.01009223321387498,results/formal/rg_phase1_seeds2024_3407_e80/Quake_Smart-seq2_Lung/rg_random/seed3407
rg_phase1_seeds2024_3407_e80,positive,Quake_Smart-seq2_Lung,rg_reliability,rg_nm_v1_reliability,2024,80,reliability,topology,0.610381861575179,0.7598177981060674,0.5811434992397251,0.5119681034397314,0.6788912455974185,0.005491242401251428,-0.01791926533860888,results/formal/rg_phase1_seeds2024_3407_e80/Quake_Smart-seq2_Lung/rg_reliability/seed2024
rg_phase1_seeds2024_3407_e80,positive,Quake_Smart-seq2_Lung,rg_reliability,rg_nm_v1_reliability,3407,80,reliability,topology,0.7165871121718377,0.8299431376563757,0.7561986182942864,0.61433778635587,0.8151952592767123,0.17545520005599757,0.14637359463886646,results/formal/rg_phase1_seeds2024_3407_e80/Quake_Smart-seq2_Lung/rg_reliability/seed3407
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_far,rg_nm_v1_far,2024,80,far,constant,0.6519165310048838,0.630555847329259,0.48603293986454493,0.5443823895639031,0.5483844192736649,0.04865456877458629,0.06049105178573427,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_far/seed2024
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_far,rg_nm_v1_far,3407,80,far,constant,0.5936066301613142,0.612589411968742,0.4188589339347245,0.5545702619236664,0.4797073591293044,0.04571580275681597,0.023567127981105163,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_far/seed3407
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_fixed,rg_nm_v1_fixed,2024,80,fixed,constant,0.5902767500369986,0.6137094401099846,0.42554188807881066,0.5302618442673981,0.4844762567781111,-0.01183648301114798,0.0,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_fixed/seed2024
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_fixed,rg_nm_v1_fixed,3407,80,fixed,constant,0.5346307532928815,0.6018842591817384,0.39529180595361935,0.48447042100444265,0.4807659106556281,0.022148674775710808,0.0,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_fixed/seed3407
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_mutual,rg_nm_v1_mutual,2024,80,mutual,topology,0.6021903211484386,0.6233218717094045,0.44048252917603326,0.5454489260538419,0.4979656630018912,0.0031041580860746154,0.014940641097222596,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_mutual/seed2024
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_mutual,rg_nm_v1_mutual,3407,80,mutual,topology,0.549874204528637,0.6247784397838507,0.4387517822277577,0.5274525613762953,0.5080918835683388,0.06560865104984914,0.043459976274138334,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_mutual/seed3407
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_none,rg_nm_v1_none,2024,80,none,none,0.6003403877460411,0.6211092922692347,0.43737837108995864,0.5368544785195094,0.4952074541595513,0.0,0.01183648301114798,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_none/seed2024
