true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,753,0,0,14,0,7,0,5,0,4,0,256,0,0,43
1,0,673,0,0,0,2,0,2,0,1,0,5,0,0,7
2,2,0,0,0,0,8,0,3,0,2,1,337,0,0,1
3,132,0,0,447,0,1,320,5,0,5,2,12,0,0,24
4,0,0,0,0,226,2,0,3,0,0,2,58,0,0,9
5,1,0,0,0,0,1406,0,6,0,1,0,77,0,0,33
6,2,1,0,1,0,33,1,1,0,1,0,102,0,0,254
7,2,1,0,1,0,15,0,1330,3,314,0,59,0,0,26
8,2,1,0,0,0,10,0,13,239,198,0,42,71,0,278
9,2,0,0,0,0,2,0,22,0,234,2,2,0,0,2
10,4,1,0,1,0,6,0,19,1,311,725,61,0,0,24
11,4,40,0,0,0,179,0,21,0,18,0,2265,0,2,40
12,117,0,0,0,0,3,0,4,0,4,0,342,0,0,8
13,0,26,136,0,0,6,0,2,0,2,0,22,0,142,8
14,5,0,0,4,0,6,0,24,0,58,0,34,0,0,674
