run,dataset,decoder_mode,seed,ari,nmi,acc,effective_dim_pr,cluster_aligned_eff_dim,std_min,final_base_loss,runtime_seconds
Macosko__concat__seed42,Macosko,concat,42,0.6960454782245903,0.6459277366315872,0.7493527941439029,114.16849650942063,1.6843468262874215,1.033291220664978,0.5120418354443141,246.18178701400757
Macosko__concat__seed43,Macosko,concat,43,0.705651185375968,0.6614831160386409,0.7575656132833423,111.4252280083877,1.6652556153704208,1.0067297220230103,0.5116273037024907,239.05146861076355
Macosko__concat__seed44,Macosko,concat,44,0.7036508497794238,0.6563141283904385,0.7557802178182468,91.50698306961003,1.6292515816269155,1.0285215377807617,0.5046326994895936,247.12969541549683
Macosko__lowrank__seed42,Macosko,lowrank,42,0.5222821641615027,0.6099060289093498,0.6588778789501875,77.66144067977267,1.6877398692007766,1.026336669921875,0.5252154908861433,253.12184071540833
Macosko__lowrank__seed43,Macosko,lowrank,43,0.8717262730199622,0.7257775002445959,0.8277316550615962,116.61687978889307,1.6738112338454068,1.0325661897659302,0.5013084481443678,243.02024269104004
Macosko__lowrank__seed44,Macosko,lowrank,44,0.4874479135812761,0.6201446218998848,0.632654883056597,89.52851326458955,1.757531268565119,1.0334713459014893,0.5156637154306685,244.91344285011292
Macosko__none__seed42,Macosko,none,42,0.36402141606424815,0.5829811801659643,0.528298518121764,106.54631998492233,1.7855870334593706,1.0124437808990479,0.5343920585087367,241.51436400413513
Macosko__none__seed43,Macosko,none,43,0.6895673862199552,0.6549179976648675,0.7455365113372612,61.986222990113745,1.6675951647999496,1.0170007944107056,0.5121081961904254,257.7528955936432
Macosko__none__seed44,Macosko,none,44,0.358769236739031,0.5921134771641492,0.5182556686306017,92.3560555075799,1.8211478257476037,1.024208903312683,0.5326261445454189,243.91260433197021
Melanoma_5K__concat__seed42,Melanoma_5K,concat,42,0.644932088016898,0.7196477270362166,0.7212497230223798,126.72695054490725,1.3645944506903263,1.060231328010559,0.4650704036740696,22.692556619644165
Melanoma_5K__concat__seed43,Melanoma_5K,concat,43,0.6492002473207757,0.7194240853180153,0.7041879016175493,126.4133709274948,1.3858052292661642,1.0424754619598389,0.46548183525309844,24.58012342453003
Melanoma_5K__concat__seed44,Melanoma_5K,concat,44,0.6507230669248469,0.7105238652558089,0.718147573676047,125.16798029375171,1.5174924695021046,1.0541996955871582,0.4663103310500874,23.82679533958435
Melanoma_5K__lowrank__seed42,Melanoma_5K,lowrank,42,0.6446081422175879,0.7149077035219688,0.7103922003102149,126.56713630728139,1.3078744033990033,1.034796953201294,0.4670804896775414,22.52298641204834
Melanoma_5K__lowrank__seed43,Melanoma_5K,lowrank,43,0.6525276768617111,0.720170683237762,0.7148238422335476,126.24060892051986,1.3336539487386085,1.061676025390625,0.46484746652490955,22.899609327316284
Melanoma_5K__lowrank__seed44,Melanoma_5K,lowrank,44,0.7370276766531106,0.7438765154733308,0.8145357855085309,124.82017078187828,1.4012233499077793,1.0400062799453735,0.46734301132314343,26.623568296432495
Melanoma_5K__none__seed42,Melanoma_5K,none,42,0.6554060114645452,0.7154227561800046,0.7172612452913805,125.97030443335633,1.4012151953816159,1.0107319355010986,0.4696676590863396,23.1474928855896
Melanoma_5K__none__seed43,Melanoma_5K,none,43,0.7426957772410688,0.7441376638874656,0.8176379348548637,125.05802188198423,1.346702255307778,1.0526301860809326,0.47080693700734305,23.454270839691162
Melanoma_5K__none__seed44,Melanoma_5K,none,44,0.7479454622434455,0.7496289349886257,0.8165300243740305,125.38522291634989,1.3923737449687918,1.04867422580719,0.4664340510087855,23.938942670822144
Quake_10x_Spleen__concat__seed42,Quake_10x_Spleen,concat,42,0.9211156191086136,0.840861897780549,0.9529941373534339,127.65543241581861,1.0964437095224855,1.0329045057296753,0.4477159171491056,51.004716634750366
Quake_10x_Spleen__concat__seed43,Quake_10x_Spleen,concat,43,0.9198994125115919,0.8243320941408709,0.9492252931323283,127.49500687520054,1.1065296561677846,1.0378422737121582,0.4490058712057165,50.30229949951172
Quake_10x_Spleen__concat__seed44,Quake_10x_Spleen,concat,44,0.9193334758318339,0.8268136605242132,0.949748743718593,127.75977073965427,1.1056220797134517,1.0445235967636108,0.4482260789420154,55.60840654373169
Quake_10x_Spleen__lowrank__seed42,Quake_10x_Spleen,lowrank,42,0.920997970071715,0.8374658230811741,0.9489112227805695,127.58782340113315,1.1043546049991841,1.0328710079193115,0.4482445370506596,53.56719160079956
Quake_10x_Spleen__lowrank__seed43,Quake_10x_Spleen,lowrank,43,0.9206056079962421,0.8315693197508597,0.948178391959799,127.41816055276918,1.1126042904524531,1.0403472185134888,0.4482840339879732,50.408395528793335
Quake_10x_Spleen__lowrank__seed44,Quake_10x_Spleen,lowrank,44,0.9192868620224963,0.8260185219412152,0.9482830820770519,127.64746181874723,1.0962982642020458,1.046006202697754,0.4485441309374732,55.15836000442505
Quake_10x_Spleen__none__seed42,Quake_10x_Spleen,none,42,0.9200096093129827,0.8322708232963559,0.9492252931323283,127.51984327302513,1.0955329830676768,1.0332690477371216,0.44846459417729767,45.83658695220947
Quake_10x_Spleen__none__seed43,Quake_10x_Spleen,none,43,0.9210538809424553,0.834458651539994,0.9482830820770519,127.49547609232499,1.1030948216603513,1.0370171070098877,0.4479532918414554,49.557679176330566
Quake_10x_Spleen__none__seed44,Quake_10x_Spleen,none,44,0.9214765373501983,0.8343341331731663,0.9479690117252931,127.64541379811799,1.1028646293349982,1.0485001802444458,0.44821226919019547,54.747673988342285
