true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3378,1,0,57,0,4,1,0,589,2476,0,0,1,6,1
1,0,464,0,0,5,2,0,0,0,0,0,0,1,0,0
2,0,0,1141,0,68,1,0,1,0,0,0,0,7,0,0
3,4,8,18,0,501,518,6,2,0,0,0,0,7,0,0
4,3,0,42,0,1575,1072,6,3,0,1,0,0,1,0,0
5,1,86,629,0,443,521,7,2,0,2,0,0,3,0,0
6,1,0,0,0,6,3,799,15,0,0,0,0,2,0,0
7,1,0,0,1,0,1,14,643,0,0,1,0,2,1,0
8,8,0,1,0,4,1,2,2,1,1,14,2,0,0,0
9,3,0,0,0,0,2,0,0,0,2,4,0,25,0,0
10,3,0,1,0,0,1,0,0,0,4,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,112,0,1,0
12,13,3,25,0,30,9,9,10,1,31,0,0,585,0,1
13,2,0,1,0,0,0,0,5,1,1,1,0,1,1848,2
14,0,0,0,0,2,0,1,0,0,1,1,0,0,0,150
