label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,6514,0.600307031010132,0.9787379503250122,False
1,472,0.5741525423728814,0.9237719774246216,False
2,1218,0.5371100164203613,0.8518857955932617,False
3,1064,0.2776315789473684,0.4246005713939667,False
4,2703,0.48464668886422496,0.7531047463417053,False
5,1694,0.42396694214876035,0.6604138016700745,False
6,826,0.5634382566585956,0.920640230178833,False
7,664,0.5954819277108434,0.9461813569068909,False
8,36,0.36666666666666664,0.6091409921646118,True
9,36,0.39444444444444443,0.647479236125946,True
10,589,0.5830220713073005,0.9599988460540771,False
11,114,0.624561403508772,0.9687955379486084,True
12,717,0.5165969316596931,0.8420803546905518,False
13,1862,0.6022556390977444,0.9798413515090942,False
14,155,0.5535483870967742,0.9704383015632629,True
