label,n_cells,precision,recall,f1,is_rare_lt_50
0,4426,0.9141809290953545,0.8447808404880253,0.8781117895725693,False
1,54,0.00018744142455482662,0.018518518518518517,0.00037112636852848393,False
2,6285,0.9536807278742763,0.5503579952267303,0.6979418886198547,False
3,1868,0.9704595185995624,0.949678800856531,0.95995670995671,False
4,85,0.9753086419753086,0.9294117647058824,0.9518072289156626,False
5,432,0.9783653846153846,0.9421296296296297,0.9599056603773585,False
6,252,0.0008058739255014327,0.03571428571428571,0.0015761821366024518,False
7,67,1.0,0.9104477611940298,0.953125,False
8,1624,0.9463741620962828,0.9562807881773399,0.951301684532925,False
9,63,0.00042753313381787086,0.015873015873015872,0.0008326394671107411,False
10,29400,0.9850628366247756,0.46656462585034014,0.6332140796306982,False
11,252,0.7845117845117845,0.9246031746031746,0.848816029143898,False
