true,0,1,2,3,4,5,6,7,8
0,0,0,511,0,0,0,0,1,0
1,0,0,0,0,0,0,56,0,0
2,901,2,1,0,2,0,0,61,0
3,99,0,2,0,3,0,0,1049,0
4,0,0,0,0,0,0,0,0,62
5,1,0,0,0,0,119,0,0,0
6,0,0,0,0,0,0,0,46,0
7,0,501,0,133,611,2,2,2,0
8,27,7,169,10,16,38,21,37,21
