true,0,1,2,3,4,5,6,7,8
0,511,0,0,1,0,0,0,0,0
1,0,56,0,0,0,0,0,0,0
2,1,0,901,61,0,0,2,2,0
3,2,0,99,1049,0,0,0,3,0
4,0,0,0,0,62,0,0,0,0
5,0,0,1,0,0,119,0,0,0
6,0,0,0,46,0,0,0,0,0
7,0,2,0,2,0,2,501,611,133
8,169,21,27,37,21,38,7,16,10
