contrast,metric,n_datasets,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,permutation_p,holm_p
F_vs_NoMix,f1_macro,6,0.0035686775325418363,-2.5111222004825517e-05,-0.004642903899181465,0.013067672969122998,3,0,3,0.6,1.0
T_vs_NoMix,f1_macro,6,-0.012282936939333208,0.0049668378538619,-0.05616357781895684,0.01485401747291167,4,0,2,0.9384615384615385,1.0
T_vs_F,f1_macro,6,-0.015851614471875042,0.0015383704680128896,-0.058904224787252095,0.011663482165213299,4,0,2,0.8769230769230769,1.0
