contrast,metric,n_datasets,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,permutation_p,holm_p
F_vs_NoMix,ari,6,-0.002162415174992429,-0.0023153682955490695,-0.00512694991368041,0.0009700276026033497,1,0,5,0.23076923076923078,0.6923076923076923
T_vs_NoMix,ari,6,0.005444464004457523,-0.006787354122898881,-0.02739563762856174,0.04191311797294111,3,0,3,0.7846153846153846,1.0
T_vs_F,ari,6,0.007606879179449952,-0.0040120969856592414,-0.028260093685175156,0.046597467573302694,3,0,3,0.7846153846153846,1.0
