contrast,metric,n_datasets,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,permutation_p,holm_p
F_vs_NoMix,acc,6,0.0020050035338498584,-0.0004611142868972684,-0.006607596983687791,0.012707682108307009,2,0,4,0.7538461538461538,1.0
T_vs_NoMix,acc,6,0.005046452646041311,0.0071954486309744325,-0.04091612634163958,0.04680325788700738,4,0,2,0.7846153846153846,1.0
T_vs_F,acc,6,0.003041449112191452,-0.004457655560074658,-0.04312252488956566,0.04859869137810444,3,0,3,0.9692307692307692,1.0
