contrast,metric,n_datasets,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,permutation_p,holm_p
F_vs_NoMix,nmi,6,0.0024687119668444133,0.0001235588685257194,-0.0017492465268606299,0.008498385624171656,3,0,3,0.6615384615384615,1.0
T_vs_NoMix,nmi,6,-0.00016938705915496102,0.004970480106355757,-0.016876801470083042,0.012931224775736863,4,0,2,1.0,1.0
T_vs_F,nmi,6,-0.002638099025999374,0.005253815079725943,-0.021264630280668512,0.013401957447299495,4,0,2,0.8153846153846154,1.0
