label,n_cells,precision,recall,f1,is_rare_lt_50
0,6514,0.988895382817066,0.5194964691433834,0.6811594202898551,False
1,472,0.7184615384615385,0.989406779661017,0.8324420677361853,False
2,1218,0.5997958141909138,0.964696223316913,0.7396915328926661,False
3,1064,0.0,0.0,0.0,False
4,2703,0.5730633802816901,0.9633740288568258,0.7186421967710777,False
5,1694,0.00078125,0.0011806375442739079,0.0009402914903620122,False
6,826,0.9392523364485982,0.9733656174334141,0.9560047562425684,False
7,664,0.9472295514511874,0.5406626506024096,0.6883988494726749,False
8,36,0.001644736842105263,0.027777777777777776,0.003105590062111801,True
9,36,0.9583333333333334,0.6388888888888888,0.7666666666666667,True
10,589,0.9666666666666667,0.9847198641765704,0.975609756097561,False
11,114,0.9658119658119658,0.9912280701754386,0.9783549783549783,False
12,717,0.9340659340659341,0.8298465829846583,0.8788774002954209,False
13,1862,0.9956919763058697,0.9930182599355531,0.9943533207851573,False
14,155,0.974025974025974,0.967741935483871,0.970873786407767,False
