stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir,n_rows,n_datasets,mean_ari,mean_nmi,screen_meets_baseline_count,screen_noncollapse_count,effective_screen_candidate,datasets
screen,rank57_scvaeder_latent_diffusion_full,,,,,,,,,,,,,,,2,2,0.5816791586282787,0.7036530665867762,0,2,False,Melanoma_5K;Quake_10x_Spleen
screen,rank58_fuzzy_rough_core_boundary_full,,,,,,,,,,,,,,,2,2,0.4815216303977964,0.59664463890358,0,2,False,Melanoma_5K;Quake_10x_Spleen
smoke,rank01_scdiva_absorbing_diffusion_full,,,,,,,,,,,,,,,1,1,0.4465598931604431,0.5802317339039236,0,0,False,Melanoma_5K
smoke,rank02_maskfeat_gene_module_semantic_full,,,,,,,,,,,,,,,1,1,0.5423114607075328,0.6631946586487243,0,0,False,Melanoma_5K
smoke,rank03_consistency_ema_robust_full,,,,,,,,,,,,,,,1,1,0.3801074995744143,0.5319390565787224,0,0,False,Melanoma_5K
smoke,rank04_joao_mask_policy_full,,,,,,,,,,,,,,,1,1,0.5102431669039326,0.6627410799126012,0,0,False,Melanoma_5K
smoke,rank05_tabr_retrieval_context_full,,,,,,,,,,,,,,,1,1,0.5243028016323192,0.6640053325490315,0,0,False,Melanoma_5K
smoke,rank06_scvgae_zinb_variational_full,,,,,,,,,,,,,,,1,1,0.4838828573800954,0.6103270984513088,0,0,False,Melanoma_5K
smoke,rank07_dinobloom_self_distill_full,,,,,,,,,,,,,,,1,1,0.3103810735889383,0.4374998114900948,0,0,False,Melanoma_5K
smoke,rank10_celler_longtail_protection_full,,,,,,,,,,,,,,,1,1,0.3520180642184419,0.4730476501198624,0,0,False,Melanoma_5K
smoke,rank11_scmamba_module_sequence_full,,,,,,,,,,,,,,,1,1,0.1657281975607738,0.2454642701139416,0,0,False,Melanoma_5K
smoke,rank13_masked_sc_cluster_target_full,,,,,,,,,,,,,,,1,1,0.5916736215165294,0.6909737690720631,0,0,False,Melanoma_5K
smoke,rank14_cicl_cluster_aware_contrast_full,,,,,,,,,,,,,,,1,1,0.5526335428635968,0.6612697190311173,0,0,False,Melanoma_5K
smoke,rank15_scagc_adaptive_graph_full,,,,,,,,,,,,,,,1,1,0.5384509136201059,0.6372308171573636,0,0,False,Melanoma_5K
smoke,rank18_beit_gene_token_full,,,,,,,,,,,,,,,1,1,0.512706850218477,0.6256734136639087,0,0,False,Melanoma_5K
smoke,rank19_data2vec_latent_teacher_full,,,,,,,,,,,,,,,1,1,0.2855325024452151,0.3965989204884374,0,0,False,Melanoma_5K
smoke,rank20_multimae_multitask_gene_full,,,,,,,,,,,,,,,1,1,0.4846152256040538,0.6085693703936002,0,0,False,Melanoma_5K
smoke,rank21_audiomae_module_patch_full,,,,,,,,,,,,,,,1,1,0.0830716508496027,0.1495199944352266,0,0,False,Melanoma_5K
smoke,rank22_ijepa_context_target_full,,,,,,,,,,,,,,,1,1,0.0353198013494105,0.0632763214702708,0,0,False,Melanoma_5K
smoke,rank23_maskgit_gene_token_full,,,,,,,,,,,,,,,1,1,0.2645891457320317,0.3630454876490055,0,0,False,Melanoma_5K
smoke,rank24_flow_matching_latent_denoise_full,,,,,,,,,,,,,,,1,1,0.5455869276772665,0.6386628655125769,0,0,False,Melanoma_5K
smoke,rank25_anomaly_association_boundary_full,,,,,,,,,,,,,,,1,1,0.1010236082259919,0.2046352817837828,0,0,False,Melanoma_5K
smoke,rank26_bgrl_graph_bootstrap_full,,,,,,,,,,,,,,,1,1,0.5555936412142669,0.6722650434144835,0,0,False,Melanoma_5K
smoke,rank27_graph_barlow_twins_full,,,,,,,,,,,,,,,1,1,0.5051849953460318,0.6058799910883789,0,0,False,Melanoma_5K
smoke,rank28_graphormer_structural_bias_full,,,,,,,,,,,,,,,1,1,0.4628239610534082,0.628131076680625,0,0,False,Melanoma_5K
smoke,rank29_deep_adaptive_fuzzy_clustering_full,,,,,,,,,,,,,,,2,1,0.540859679597939,0.6486507768896421,0,0,False,Melanoma_5K
smoke,rank30_fuzzy_rough_quantification_full,,,,,,,,,,,,,,,1,1,0.5091811321824548,0.6458572741454902,0,0,False,Melanoma_5K
smoke,rank33_ibot_online_tokenizer_full,,,,,,,,,,,,,,,1,1,0.216040060848107,0.3385682707397476,0,0,False,Melanoma_5K
smoke,rank34_masked_siamese_proto_full,,,,,,,,,,,,,,,1,1,0.398240144180611,0.5002406180989108,0,0,False,Melanoma_5K
smoke,rank35_videomae_gene_module_full,,,,,,,,,,,,,,,1,1,0.1394080316970239,0.2266991467011322,0,0,False,Melanoma_5K
smoke,rank36_dinov2_koleo_teacher_full,,,,,,,,,,,,,,,1,1,0.1836586981229916,0.3051283021730059,0,0,False,Melanoma_5K
smoke,rank38_latent_diffusion_denoise_full,,,,,,,,,,,,,,,1,1,0.5455869276772665,0.6386628655125769,0,0,False,Melanoma_5K
smoke,rank39_ts2vec_gene_module_full,,,,,,,,,,,,,,,1,1,0.5496853717915292,0.6416219723133495,0,0,False,Melanoma_5K
smoke,rank40_timesnet_gene_2d_full,,,,,,,,,,,,,,,1,1,0.5107580712853756,0.6313236092863171,0,0,False,Melanoma_5K
smoke,rank41_nonstationary_gene_attention_full,,,,,,,,,,,,,,,1,1,0.5023675692797632,0.6238991595310522,0,0,False,Melanoma_5K
smoke,rank42_maskgae_edge_reconstruct_full,,,,,,,,,,,,,,,1,1,0.5917306845133048,0.6730391514393299,0,0,False,Melanoma_5K
smoke,rank43_graphgps_local_global_full,,,,,,,,,,,,,,,1,1,0.57707387503587,0.6964494456926039,0,0,False,Melanoma_5K
smoke,rank44_molebert_context_token_full,,,,,,,,,,,,,,,1,1,0.4494574662298815,0.6205138922219661,0,0,False,Melanoma_5K
smoke,rank45_saint_rowcol_attention_full,,,,,,,,,,,,,,,1,1,0.4920090154926913,0.6231112141211975,0,0,False,Melanoma_5K
smoke,rank47_self_guided_mask_token_full,,,,,,,,,,,,,,,1,1,0.4376121322985777,0.5807981182428409,0,0,False,Melanoma_5K
smoke,rank48_mae_asymmetric_decoder_full,,,,,,,,,,,,,,,1,1,0.4253110752563405,0.5812925049775802,0,0,False,Melanoma_5K
