run,dataset,seed,mix_mode,variance_weight,denoise_weight,ari,nmi,acc,f1_macro,effective_dim_pr,std_min,std_median,std_max,dims_std_gt_1p0,cluster_mass_min,cluster_mass_max,runtime_seconds
dec,Macosko,42,none,0.0,1.0,0.34228200227165095,0.5971862137184519,0.5030128548473487,0.43311028143032665,60.39284454591918,0.27533021569252014,0.709194540977478,2.4235236644744873,34,0.007610248169969649,0.2904838421710409,267.3160779476166
dec_floor,Macosko,42,none,0.02,1.0,0.6960454782245903,0.6459277366315872,0.7493527941439029,0.4077529522575374,114.16849650942063,1.033291220664978,1.0597360134124756,2.1809849739074707,128,0.009819675058025352,0.5593420817711123,266.15860652923584
dec_floor_seed43,Macosko,43,none,0.02,1.0,0.705651185375968,0.6614831160386409,0.7575656132833423,0.4393260507982177,111.4252280083877,1.0067297220230103,1.0423437356948853,2.4124960899353027,128,0.007610248169969649,0.5636270308873416,269.4879491329193
dec_floor_seed44,Macosko,44,none,0.02,1.0,0.7036508497794238,0.6563141283904385,0.7557802178182468,0.40924813307245017,91.50698306961003,1.0285215377807617,1.0690275430679321,3.089021682739258,128,0.007654883056597036,0.5639171576504196,264.65868186950684
dec_seed43,Macosko,43,none,0.0,1.0,0.32373796224271445,0.5928501155744972,0.43757811105159794,0.4194348353446338,74.25707802575138,0.29316332936286926,0.7995818853378296,2.0704774856567383,35,0.0065390108909123374,0.23136493483306553,269.45430159568787
dec_seed44,Macosko,44,none,0.0,1.0,0.32336557401849786,0.5946594408896387,0.43264595607927153,0.4131824780798645,62.18820803365144,0.27587515115737915,0.7309996485710144,2.2749242782592773,37,0.007163899303695769,0.22904392072844135,262.13667035102844
neighbormix_dec,Macosko,42,neighbor,0.0,1.0,0.3301790285089663,0.5981870004217137,0.46502856632744155,0.45194443583937244,35.246404336817044,0.11889230459928513,0.556815505027771,2.4681332111358643,28,0.007654883056597036,0.2428807355829316,400.2421326637268
neighbormix_dec_floor,Macosko,42,neighbor,0.02,1.0,0.47341187212247066,0.575494121113339,0.6377432601321192,0.3742330790219642,105.59098312561254,1.0089404582977295,1.0521292686462402,2.663564443588257,128,0.009708087841456882,0.4421308694875915,397.73530626296997
neighbormix_dec_floor_seed43,Macosko,43,neighbor,0.02,1.0,0.4962793277726053,0.5796150436336165,0.6543474379575076,0.3947942595730251,117.17100346523125,1.0137536525726318,1.0609354972839355,2.238570213317871,128,0.007520978396714872,0.45668184252812,392.92167615890503
neighbormix_dec_floor_seed44,Macosko,44,neighbor,0.02,1.0,0.3269084749589991,0.5753111666123136,0.4510578468130691,0.3543070500749051,116.51205010688244,1.0232490301132202,1.0566164255142212,2.082310438156128,128,0.01586770219603642,0.26053383324406354,394.4727280139923
neighbormix_dec_seed43,Macosko,43,neighbor,0.0,1.0,0.3213207422433346,0.5861625266287055,0.42159882163899304,0.39626147949527063,41.096101761177145,0.025255223736166954,0.5917081832885742,2.8097548484802246,29,0.007721835386538118,0.23011515800749865,399.5026741027832
neighbormix_dec_seed44,Macosko,44,neighbor,0.0,1.0,0.331914612340645,0.6083531963293907,0.455074986609534,0.44975509327509905,46.34357433068095,0.0967506393790245,0.6065046191215515,2.4447076320648193,36,0.00767720049991073,0.2262765577575433,401.3875319957733
