label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,4426,0.8441482150926344,0.9401466846466064,False
1,54,0.9111111111111111,0.9850795865058899,True
2,6285,0.8494192521877486,0.9442038536071777,False
3,1868,0.8876873661670236,0.9768523573875427,False
4,85,0.8823529411764706,0.9546056389808655,False
5,432,0.8805555555555555,0.9738516807556152,False
6,252,0.8920634920634921,0.9849492907524109,False
7,67,0.7791044776119403,0.8356529474258423,True
8,1624,0.8817733990147784,0.9777150750160217,False
9,63,0.8666666666666667,0.9629649519920349,True
10,29400,0.8706122448979592,0.9662953615188599,False
11,252,0.8642857142857143,0.9685574173927307,False
