dataset,seed,variant,ari,nmi,acc,f1_macro,q_cell,q_gene,q_total,graph_enabled,negative_control,pca_ari,pca_nmi,pca_acc,delta_ari_vs_pca,regret_vs_pca,negative_transfer,win_vs_pca,tie_vs_pca,loss_vs_pca,rank_ari_desc,oracle_ari,oracle_source_variant,oracle_gain_vs_pca,oracle_gap
Limb_Muscle,42,pca_kmeans,0.44747325960621226,0.5985589862723709,0.655154771041187,0.593064360589238,0.6267890650732956,0.8721322787220693,0.7494606718976824,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.0,0.0,False,False,True,False,7.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.47615452920129114
Limb_Muscle,42,pca_spectral_kmeans,0.6722258207895024,0.7662457798924501,0.8311588641596316,0.7649580687387142,0.6267890650732956,0.8721322787220693,0.7494606718976824,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.22475256118329018,0.0,False,True,False,False,6.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.25140196801800097
Limb_Muscle,42,rdg_cell_only,0.2139294319282009,0.46072611087546955,0.5154771041187004,0.4923706387759785,0.6267890650732956,0.8721322787220693,0.7494606718976824,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,-0.23354382767801135,0.23354382767801135,True,False,False,True,9.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.7096983568793025
Limb_Muscle,42,rdg_gene_only,0.9236277888075034,0.9233646370283245,0.9652084932207726,0.9501667325905365,0.6267890650732956,0.8721322787220693,0.7494606718976824,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.47615452920129114,0.0,False,True,False,False,1.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.0
Limb_Muscle,42,rdg_concat_kmeans,0.8516555148802076,0.8702882027149612,0.8772064466615502,0.7716433459313805,0.6267890650732956,0.8721322787220693,0.7494606718976824,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.40418225527399537,0.0,False,True,False,False,5.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.07197227392729577
Limb_Muscle,42,rdg_always_on,0.9189558246817529,0.9016982613137511,0.9641852136096188,0.9555097983834994,0.6267890650732956,0.8721322787220693,0.7494606718976824,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.4714825650755406,0.0,False,True,False,False,2.5,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.0046719641257505495
Limb_Muscle,42,safe_rdg_heuristic,0.8668129546941364,0.8760792500823461,0.9421847019698133,0.9259342590448331,0.6267890650732956,0.8721322787220693,0.7494606718976824,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.4193396950879242,0.0,False,True,False,False,4.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.05681483411336696
Wang,42,pca_kmeans,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.9286594137771856,0.547395280025312,0.8489352407832641,0.6981652604042881,False,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.0,0.0,False,False,True,False,6.5,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.18401612347268326
Wang,42,pca_spectral_kmeans,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,0.44495774142622635,0.547395280025312,0.8489352407832641,0.6981652604042881,False,,0.7858779620945557,0.6931907552992126,0.9472633680008404,-0.7796249170139119,0.7796249170139119,True,False,False,True,8.5,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.9636410404865952
Wang,42,rdg_cell_only,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,0.44495774142622635,0.547395280025312,0.8489352407832641,0.6981652604042881,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,-0.7796249170139119,0.7796249170139119,True,False,False,True,8.5,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.9636410404865952
Wang,42,rdg_gene_only,0.9675660264254676,0.9203843501235587,0.9926462863746192,0.9892526656640789,0.547395280025312,0.8489352407832641,0.6981652604042881,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.1816880643309119,0.0,False,True,False,False,5.0,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.002328059141771366
Wang,42,rdg_concat_kmeans,0.969894085567239,0.9248955485493591,0.993171551633575,0.9900392189804945,0.547395280025312,0.8489352407832641,0.6981652604042881,False,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.18401612347268326,0.0,False,True,False,False,1.0,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.0
Wang,42,rdg_always_on,0.9698742590558683,0.925049039083919,0.993171551633575,0.9900254942457193,0.547395280025312,0.8489352407832641,0.6981652604042881,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.1839962969613126,0.0,False,True,False,False,3.0,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,1.9826511370668598e-05
Wang,42,safe_rdg_heuristic,0.9694114994270597,0.9241227844871984,0.9930664985817838,0.9898702941547882,0.547395280025312,0.8489352407832641,0.6981652604042881,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.183533537332504,0.0,False,True,False,False,4.0,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.00048258614017926416
Limb_Muscle,42,safe_rdg_calibrated_threshold,0.9189558246817529,0.9016982613137512,0.9641852136096188,,,,0.7494606718976824,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.4714825650755406,0.0,False,True,False,False,2.5,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.0046719641257505495
Wang,42,safe_rdg_calibrated_threshold,0.9698742590558684,0.925049039083919,0.993171551633575,,,,0.6981652604042881,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.1839962969613127,0.0,False,True,False,False,2.0,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,1.9826511370557576e-05
Limb_Muscle,42,safe_rdg_calibrated_logistic_explore,0.4474732596062122,0.5985589862723709,0.655154771041187,,,,0.7494606718976824,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,-5.551115123125783e-17,5.551115123125783e-17,False,False,True,False,8.0,0.9236277888075034,rdg_gene_only,0.47615452920129114,0.4761545292012912
Wang,42,safe_rdg_calibrated_logistic_explore,0.7858779620945557,0.6931907552992126,0.9472633680008404,,,,0.6981652604042881,False,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.0,0.0,False,False,True,False,6.5,0.969894085567239,rdg_concat_kmeans,0.18401612347268326,0.18401612347268326
