true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,7,0,52,1,210,796,0,0,0,0,3,0,9,0
1,3,1,0,0,2,4,1,0,0,0,0,8,0,0,671
2,3,3,1,0,0,340,3,0,0,0,0,0,0,3,1
3,1,5,2,413,2,10,177,0,0,330,0,2,0,5,1
4,38,3,2,0,2,25,2,0,0,0,225,2,0,1,0
5,46,12,0,0,2,1460,1,0,0,0,0,2,0,1,0
6,13,1,0,12,1,358,2,0,0,1,0,6,0,1,1
7,16,1338,1,2,3,37,3,0,0,0,0,4,4,343,0
8,14,9,1,6,322,36,3,0,0,0,0,9,251,202,1
9,0,18,2,0,0,0,1,0,0,0,0,1,0,244,0
10,4,23,737,5,0,45,4,0,0,0,0,1,1,332,1
11,1040,29,0,1,3,1417,9,0,0,0,0,5,0,35,30
12,2,7,0,1,0,304,154,0,0,0,0,0,0,10,0
13,13,4,0,0,1,25,0,133,137,0,0,2,0,2,27
14,0,54,0,295,1,164,6,0,0,1,0,199,0,84,1
