true,0,1,2,3,4,5,6,7,8
0,510,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,56
2,1,905,1,59,1,0,0,0,0
3,2,106,3,1042,0,0,0,0,0
4,0,0,0,0,0,0,0,62,0
5,0,0,1,0,0,119,0,0,0
6,1,0,0,45,0,0,0,0,0
7,0,1,612,1,468,2,165,0,2
8,171,30,14,36,6,37,10,22,20
