label,n_cells,precision,recall,f1,is_rare_lt_50
0,1082,0.5317324185248714,0.5730129390018485,0.5516014234875445,False
1,690,0.9093369418132612,0.9739130434782609,0.940517844646606,False
2,354,0.0,0.0,0.0,False
3,948,0.9967741935483871,0.3259493670886076,0.4912559618441971,False
4,300,1.0,0.76,0.8636363636363636,False
5,1524,0.7422680412371134,0.9448818897637795,0.8314087759815243,False
6,396,0.26538108356290174,0.7297979797979798,0.38922558922558925,False
7,1751,0.8933423913043478,0.7509994288977727,0.816009928637915,False
8,854,0.9614147909967846,0.35011709601873536,0.5133047210300429,False
9,266,0.20733788395904437,0.9135338345864662,0.3379694019471488,False
10,1153,0.989145183175034,0.632263660017346,0.7714285714285715,False
11,2569,0.8271798900235664,0.40988711560918645,0.5481520041644976,False
12,478,0.18120805369127516,0.9037656903765691,0.3018867924528302,False
13,344,1.0,0.6046511627906976,0.7536231884057971,False
14,805,0.8571428571428571,0.24596273291925466,0.38223938223938225,False
