true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3400,1,0,591,3,2510,1,0,0,0,0,0,1,6,1
1,0,465,1,0,6,0,0,0,0,0,0,0,0,0,0
2,0,0,1193,0,18,0,0,0,1,0,0,0,6,0,0
3,6,15,15,0,1016,0,4,2,0,0,0,0,6,0,0
4,3,0,70,0,2620,1,6,2,0,0,0,0,1,0,0
5,1,134,667,0,878,2,6,1,1,0,0,0,4,0,0
6,1,0,0,0,8,0,705,9,101,0,0,0,2,0,0
7,2,0,0,0,0,0,10,361,288,0,1,0,1,1,0
8,6,0,1,1,6,1,1,2,2,0,13,3,0,0,0
9,5,0,1,0,2,0,0,0,0,23,4,1,0,0,0
10,3,0,1,0,1,4,0,0,0,0,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,0,112,0,1,0
12,15,3,21,1,35,31,6,0,12,0,0,0,593,0,0
13,2,0,1,0,0,1,0,3,1,1,1,0,0,1850,2
14,0,0,0,0,2,1,1,0,0,0,1,0,0,0,150
