dataset,method,seed,k,n_rare,rare_recall,big_recall,macro_f1,ari
Bach,dec,seed_3047,8,2,0.11320754716981132,0.40996955403787844,0.28619641215735153,0.4615709272101523
Bach,dec,seed_3407,8,2,0.09245283018867924,0.31428839881293374,0.20045005244484226,0.1915730843237934
Bach,dec,seed_42,8,2,0.11886792452830189,0.33493013048758363,0.2215604325898144,0.20336766962718733
Bach,genecompass,seed_3047,8,2,0.798901098901099,0.6986145692377695,0.6986770092595722,0.7365591499975009
Bach,genecompass,seed_3407,8,2,0.798901098901099,0.6986576133149045,0.6987042704847015,0.7365780845610037
Bach,genecompass,seed_42,8,2,0.8054945054945055,0.7657074120903681,0.7295274946728886,0.8484751913062715
Bach,geneformer,seed_3047,8,2,0.798901098901099,0.6986145692377695,0.6986770092595722,0.7365591499975009
Bach,geneformer,seed_3407,8,2,0.798901098901099,0.6986576133149045,0.6987042704847015,0.7365780845610037
Bach,geneformer,seed_42,8,2,0.8054945054945055,0.7657074120903681,0.7295274946728886,0.8484751913062715
Bach,leiden,seed_3047,8,2,0.5849263943603566,0.7588293630180227,0.688101774213034,0.8755997122100099
Bach,leiden,seed_3407,8,2,0.4075471698113208,0.8186687800946183,0.695699075778696,0.9066459182468144
Bach,leiden,seed_42,8,2,0.4075471698113208,0.8186687800946183,0.6957403293149768,0.9066167628196806
Bach,louvain,seed_3047,8,2,0.5849263943603566,0.7588293630180227,0.688101774213034,0.8755997122100099
Bach,louvain,seed_3407,8,2,0.4075471698113208,0.8186687800946183,0.695699075778696,0.9066459182468144
Bach,louvain,seed_42,8,2,0.4075471698113208,0.8186687800946183,0.6957403293149768,0.9066167628196806
Bach,pca_kmeans_known_k,seed_3047,8,2,0.2981132075471698,0.8185437440463751,0.679026505335887,0.9068395690105564
Bach,pca_kmeans_known_k,seed_3407,8,2,0.2981132075471698,0.8185437440463751,0.679026505335887,0.9068395690105564
Bach,pca_kmeans_known_k,seed_42,8,2,0.2981132075471698,0.8185437440463751,0.679026505335887,0.9068395690105564
Bach,sc3,seed_3047,8,2,0.8010989010989011,0.7005111890199701,0.6995864806617457,0.7378286639638231
Bach,sc3,seed_3407,8,2,0.8076923076923077,0.7638087950640687,0.727405369645274,0.8475728750692338
Bach,sc3,seed_42,8,2,0.8087912087912088,0.7638292068839238,0.7275189047662713,0.8474228554426946
Bach,scanpy_standard,seed_3047,8,2,0.789010989010989,0.7670023247741896,0.7268440011851791,0.8478464074671912
Bach,scanpy_standard,seed_3407,8,2,0.789010989010989,0.7670023247741896,0.7268440011851791,0.8478464074671912
Bach,scanpy_standard,seed_42,8,2,0.789010989010989,0.7670023247741896,0.7268440011851791,0.8478464074671912
Bach,scdcc,seed_3047,8,2,0.521978021978022,0.683199747440422,0.5959374962224542,0.651076578899695
Bach,scdcc,seed_3407,8,2,0.8703296703296703,0.7006409047992822,0.6591348949915343,0.7333759762240796
Bach,scdcc,seed_42,8,2,0.6054945054945055,0.6861976347339546,0.6120185452128526,0.7097597931762609
Bach,scmae,seed_3047,8,2,0.6923076923076923,0.8226904316926215,0.7689397600959129,0.8584988600085133
Bach,scmae,seed_3407,8,2,0.7879120879120879,0.7630101004034239,0.7277349989512355,0.8560021785082662
Bach,scmae,seed_42,8,2,0.7450549450549451,0.7474480096422272,0.690387973672668,0.8421106861714776
Baron,attentionae_sc,seed_3047,14,5,0.10711111111111112,0.559534460994681,0.39405412291829706,0.5035221020261047
Baron,attentionae_sc,seed_3407,14,5,0.22202597402597402,0.5712672349440924,0.4334036384186211,0.43516137047629794
Baron,attentionae_sc,seed_42,14,5,0.26036363636363635,0.6301838402566243,0.46936600071058826,0.5050346129234149
Baron,dec,seed_3047,14,5,0.28624975024975025,0.6050585227765863,0.49900021873078043,0.6791855508936459
Baron,dec,seed_3407,14,5,0.5115524475524476,0.643976048338154,0.5779181699148114,0.7266960108192039
Baron,dec,seed_42,14,5,0.4317202797202797,0.4979180009051343,0.4796670049435258,0.42048427203133526
Baron,genecompass,seed_3047,14,5,0.19636363636363635,0.7748331175329602,0.5940208536710951,0.6363775207413275
Baron,genecompass,seed_3407,14,5,0.2,0.7770753526594977,0.5836163621659244,0.638401503674595
Baron,genecompass,seed_42,14,5,0.2,0.7755156595966708,0.582328237083264,0.6377940423761648
Baron,geneformer,seed_3047,14,5,0.19636363636363635,0.7748331175329602,0.5940208536710951,0.6363775207413275
Baron,geneformer,seed_3407,14,5,0.2,0.7770753526594977,0.5836163621659244,0.638401503674595
Baron,geneformer,seed_42,14,5,0.2,0.7755156595966708,0.582328237083264,0.6377940423761648
Baron,leiden,seed_3047,14,5,0.5178021978021978,0.6915445452489752,0.5981881508696768,0.7875153988569057
Baron,leiden,seed_3407,14,5,0.5619580419580419,0.6126945584789756,0.5663410987328633,0.7665623364942201
Baron,leiden,seed_42,14,5,0.5245954045954045,0.7584027594085544,0.684613545730257,0.9133871007816489
Baron,louvain,seed_3047,14,5,0.5178021978021978,0.6915445452489752,0.5981881508696768,0.7875153988569057
Baron,louvain,seed_3407,14,5,0.5619580419580419,0.6126945584789756,0.5663410987328633,0.7665623364942201
Baron,louvain,seed_42,14,5,0.5245954045954045,0.7584027594085544,0.684613545730257,0.9133871007816489
Baron,pca_kmeans_known_k,seed_3047,14,5,0.4093506493506493,0.6572171813506541,0.5943127138712553,0.7520641350444786
Baron,pca_kmeans_known_k,seed_3407,14,5,0.34493506493506493,0.6565010184539718,0.5725361565093311,0.746386656409957
Baron,pca_kmeans_known_k,seed_42,14,5,0.3236363636363636,0.6507446186078207,0.5474439883931322,0.7534262428866018
Baron,sc3,seed_3047,14,5,0.20747474747474745,0.7815058332468628,0.5981601840456169,0.6361996997114445
Baron,sc3,seed_3407,14,5,0.2111111111111111,0.7804356571383477,0.5891182092196259,0.6359909382300917
Baron,sc3,seed_42,14,5,0.2111111111111111,0.7778188785642758,0.5875001822857795,0.7742863792786484
Baron,scanpy_standard,seed_3047,14,5,0.27521367521367524,0.6961763205081549,0.5207478683488469,0.567113120630602
Baron,scanpy_standard,seed_3407,14,5,0.27521367521367524,0.6961763205081549,0.5207478683488469,0.567113120630602
Baron,scanpy_standard,seed_42,14,5,0.27521367521367524,0.6961763205081549,0.5207478683488469,0.567113120630602
Baron,scdcc,seed_3047,14,5,0.4,0.8371552162526587,0.6796357926605393,0.6363016029169586
Baron,scdcc,seed_3407,14,5,0.4,0.7996410817295159,0.6139902009490544,0.6331829353058589
Baron,scdcc,seed_42,14,5,0.2,0.6988632444174064,0.5201519443294889,0.6075667101072367
Baron,scmae,seed_3047,14,5,0.38109090909090904,0.702908090362762,0.6115297942706224,0.7704108795074888
Baron,scmae,seed_3407,14,5,0.39636363636363636,0.7493280185576912,0.6231038247024142,0.7724073966274698
Baron,scmae,seed_42,14,5,0.1890909090909091,0.7051348667723403,0.5423645116446678,0.7689937469230909
Guo,attentionae_sc,seed_3047,12,1,0.5714285714285714,0.7403217873956063,0.6821543023053951,0.7723507915827883
Guo,attentionae_sc,seed_3407,12,1,0.0,0.770898001776454,0.6962050359746422,0.7720022176401823
Guo,attentionae_sc,seed_42,12,1,0.0,0.760304646312144,0.6783518241076351,0.7759890978075245
Guo,dec,seed_3047,12,1,0.21428571428571427,0.5960301975261504,0.5342578468973181,0.6750918259284169
Guo,dec,seed_3407,12,1,0.07142857142857142,0.6096898760014973,0.5206974410609296,0.6475282549920299
Guo,dec,seed_42,12,1,0.35714285714285715,0.6167657529975548,0.5543915134023315,0.7354298158130973
Guo,genecompass,seed_3047,12,1,0.0,0.8638460043635927,0.7958225530436674,0.8402449039406442
Guo,genecompass,seed_3407,12,1,0.0,0.8638853949152384,0.7961915399656116,0.8426282939446917
Guo,genecompass,seed_42,12,1,0.0,0.8636077627798869,0.7956771119704551,0.8406650212696039
Guo,geneformer,seed_3047,12,1,0.0,0.8638460043635927,0.7958225530436674,0.8402449039406442
Guo,geneformer,seed_3407,12,1,0.0,0.8638853949152384,0.7961915399656116,0.8426282939446917
Guo,geneformer,seed_42,12,1,0.0,0.8636077627798869,0.7956771119704551,0.8406650212696039
Guo,leiden,seed_3047,12,1,0.0,0.7816260857316345,0.7195272382712,0.8490219786259257
Guo,leiden,seed_3407,12,1,0.0,0.7790873425494728,0.7177241864602935,0.8481073863163493
Guo,leiden,seed_42,12,1,0.8928571428571429,0.8577741413070817,0.8533664035257137,0.8198822213824749
Guo,louvain,seed_3047,12,1,0.0,0.7816260857316345,0.7195272382712,0.8490219786259257
Guo,louvain,seed_3407,12,1,0.0,0.7790873425494728,0.7177241864602935,0.8481073863163493
Guo,louvain,seed_42,12,1,0.8928571428571429,0.8577741413070817,0.8533664035257137,0.8198822213824749
Guo,pca_kmeans_known_k,seed_3047,12,1,0.0,0.74373537560381,0.6867813577397129,0.8043825618527161
Guo,pca_kmeans_known_k,seed_3407,12,1,0.7857142857142857,0.6364831890322347,0.6376744222531754,0.6934178639155274
Guo,pca_kmeans_known_k,seed_42,12,1,0.0,0.702969964630376,0.6494314591768684,0.7186225380682821
Guo,sc3,seed_3047,12,1,0.0,0.8424073413587088,0.7752750510614305,0.8245945336299865
Guo,sc3,seed_3407,12,1,0.0,0.8634094985867342,0.7948815063697984,0.8359236397960245
Guo,sc3,seed_42,12,1,0.03571428571428571,0.7727311261326569,0.7079898307806395,0.814360264087233
Guo,scanpy_standard,seed_3047,12,1,0.0,0.8382202590034709,0.768876421380226,0.8125586441317983
Guo,scanpy_standard,seed_3407,12,1,0.0,0.8382202590034709,0.768876421380226,0.8125586441317983
Guo,scanpy_standard,seed_42,12,1,0.0,0.8382202590034709,0.768876421380226,0.8125586441317983
Guo,scdcc,seed_3047,12,1,1.0,0.8524221008543716,0.8104654826043283,0.6933505755143644
Guo,scdcc,seed_3407,12,1,1.0,0.8178434326355031,0.7906737533294549,0.8450968085434013
Guo,scdcc,seed_42,12,1,1.0,0.9004850683433753,0.8893648717072286,0.8610293668095924
Guo,scmae,seed_3047,12,1,1.0,0.8556388531304474,0.8279565896454444,0.8277452342133694
Guo,scmae,seed_3407,12,1,0.0,0.8723914110346646,0.8032295515810776,0.8313305224456498
Guo,scmae,seed_42,12,1,0.6428571428571429,0.8663464658624517,0.8435160302450369,0.8368181780670159
Guo,scname,seed_3047,12,1,0.0,0.8373896213022245,0.7783881882135889,0.7628595365277914
Guo,scname,seed_3407,12,1,0.0,0.836073229001621,0.7740308092920266,0.7928289002011741
Guo,scname,seed_42,12,1,0.0,0.8395206669372492,0.7804047616675606,0.7681599662231025
Guo,scvi,seed_3047,12,1,0.0,0.7189068540077361,0.6294596242438015,0.5040304705822568
Guo,scvi,seed_3407,12,1,0.03571428571428571,0.7335989496099362,0.6460678974514882,0.5296877655406327
Guo,scvi,seed_42,12,1,0.07142857142857142,0.7311619167921399,0.6437362484670693,0.5275344760615178
Guo,sczidesk,seed_3047,12,1,0.0,0.8381353505345601,0.7803938813263366,0.7400727157869228
Guo,sczidesk,seed_3407,12,1,0.0,0.8337558812156494,0.7758734427047093,0.7299853680773318
Guo,sczidesk,seed_42,12,1,0.0,0.8415577492998715,0.7795958974503767,0.7198107632618126
Limb_Muscle,attentionae_sc,seed_3047,6,0,nan,0.7895601555611796,0.7629025998246836,0.8219042537315027
Limb_Muscle,attentionae_sc,seed_3407,6,0,nan,0.9790584919108808,0.9715919107992829,0.9484106039767958
Limb_Muscle,attentionae_sc,seed_42,6,0,nan,0.7941789368010023,0.766331168858095,0.8201891662643753
Limb_Muscle,dec,seed_3047,6,0,nan,0.44756512560209744,0.43843556537161293,0.3488820193535324
Limb_Muscle,dec,seed_3407,6,0,nan,0.4054680806128637,0.388846860810563,0.3411847878093358
Limb_Muscle,dec,seed_42,6,0,nan,0.5911459389673623,0.5473342073231104,0.586136122643943
