role,dataset,seed,epochs,feature_space_source,n_top_genes,n_cells,n_genes,n_genes_original,student_trainable_params,generator_trainable_params,kmeans_known_k_ari,kmeans_known_k_nmi,kmeans_known_k_acc,kmeans_known_k_f1_macro,leiden_fixed_ari,leiden_fixed_nmi,leiden_fixed_acc,leiden_fixed_f1_macro,run_dir
hvg2000,Quake_Smart-seq2_Lung,42,3,hvg,2000,1676,2000,23341,9080688,0,0.48557138401218913,0.7244668679435708,0.5399761336515513,0.47159358051572403,0.4635158900199186,0.7409217298677777,0.5793556085918854,0.6057730223493557,/tmp/caam_feature_space_smoke/dev_20260626_gpu/Quake_Smart-seq2_Lung__hvg2000__control__seed42__epochs3
full_gene_stress,Quake_Smart-seq2_Lung,42,3,full_gene_stress,0,1676,23341,23341,1101675865,0,0.44372726824409847,0.6725992809361544,0.4594272076372315,0.4541774548896362,0.3892449780138098,0.691040334458401,0.45763723150357993,0.4549481464061164,/tmp/caam_feature_space_smoke/dev_20260626_gpu/Quake_Smart-seq2_Lung__full_gene_stress__control__seed42__epochs3
