true,0,1,2,3,4,5,6,7,8
0,0,2,0,510,0,0,0,0,0
1,0,0,0,0,0,0,0,56,0
2,903,60,2,1,0,1,0,0,0
3,105,1043,0,2,0,3,0,0,0
4,0,0,0,0,62,0,0,0,0
5,1,0,0,0,0,0,119,0,0
6,0,46,0,0,0,0,0,0,0
7,1,1,468,0,0,612,2,2,165
8,32,35,6,170,22,14,37,20,10
