true,0,1,2,3,4,5,6,7,8,9,10,11
0,1,83,7,98,143,2293,28,1684,0,0,72,17
1,0,0,0,0,0,0,0,0,0,54,0,0
2,0,112,5,136,200,12,10,14,0,0,3485,2311
3,0,24,1,38,78,1,1714,1,0,0,11,0
4,0,20,60,0,1,0,1,0,0,1,2,0
5,0,12,0,3,9,406,0,2,0,0,0,0
6,0,1,0,0,0,0,0,251,0,0,0,0
7,61,0,0,0,0,1,1,3,1,0,0,0
8,0,36,1546,6,15,0,2,2,0,1,13,3
9,0,1,0,0,1,0,0,0,59,1,0,1
10,0,8219,30,6200,14700,41,17,79,3,2,97,12
11,0,13,0,5,2,0,0,0,232,0,0,0
