true,0,1,2,3,4,5,6,7,8,9,10,11
0,2293,0,72,28,83,98,1684,1,7,17,143,0
1,0,54,0,0,0,0,0,0,0,0,0,0
2,12,0,3485,10,112,136,14,0,5,2311,200,0
3,1,0,11,1714,24,38,1,0,1,0,78,0
4,0,1,2,1,20,0,0,0,60,0,1,0
5,406,0,0,0,12,3,2,0,0,0,9,0
6,0,0,0,0,1,0,251,0,0,0,0,0
7,1,0,0,1,0,0,3,61,0,0,0,1
8,0,1,13,2,36,6,2,0,1546,3,15,0
9,0,1,0,0,1,0,0,0,0,1,1,59
10,41,2,97,17,8219,6200,79,0,30,12,14700,3
11,0,0,0,0,13,5,0,0,0,0,2,232
