source,method_key,n_runs,mean_ari,min_ari,max_ari,mean_delta_ari_vs_rg_none,mean_delta_ari_vs_rg_reliability
rg_phase2_best_seed42,rg_phase2_best_gate_max_gate_max_0p05,2,0.7460625244481298,0.5462565876451978,0.9458684612510618,0.0013291933886717122,0.00910529083727174
cutaware,canm_cut_reweighted_mix,5,0.6320865406879642,0.3732874256022652,0.9391771630721,0.0270521535347338,0.063845183149645
rg_phase1_seed42,rg_none,8,0.6314463821397219,0.3662145771190266,0.9069185825513504,0.0,0.005249991824590863
rg_phase1_seed42,rg_reliability,8,0.6261963903151311,0.3446655686846679,0.942741283722221,-0.005249991824590863,0.0
rg_phase1_seed42,rg_random,8,0.6239432147877964,0.3918639951550074,0.9494302716589508,-0.007503167351925591,-0.0022531755273347276
rg_phase2_best_seed42,rg_phase2_best_pseudo_weight_pseudo_weight_0p1,2,0.6157822412080028,0.5666507231933178,0.6649137592226879,0.07793341762886535,0.11448786584235177
rg_phase1_seed42,rg_fixed,8,0.6109131766200296,0.396597012707509,0.9391674732578756,-0.02053320551969226,-0.015283213695101397
cutaware,canm_diagnostic_only,5,0.6050343871532304,0.4100517814684983,0.7449928105412928,0.0,0.036793029614911196
rg_phase1_seed42,rg_far,8,0.5820982489719013,0.3139582898662116,0.912886904416493,-0.049348133167820586,-0.04409814134322972
cutaware,canm_gated_cut_mix,5,0.5728771003294614,0.2923443703710783,0.9387409999669464,-0.032157286823769095,0.004635742791142106
cutaware,canm_gated_cut_warm,5,0.5719103939466101,0.2907788767930447,0.9391771630721,-0.033123993206620274,0.0036690364082909268
rg_phase2_best_seed42,rg_phase2_best_gate_max_gate_max_0p2,1,0.5175433351307301,0.5175433351307301,0.5175433351307301,0.057535708641768935,0.15283976539215205
cutaware,canm_cut_ot_warm,5,0.2811114098647054,0.0,0.7852678042917005,-0.3239229772885251,-0.2871299476736139
cutaware,canm_mix_plus_cut_warm,5,0.28101287904596917,0.0,0.7852678042917005,-0.3240215081072613,-0.2872284784923501
cutaware,canm_cut_ot,5,0.2563104164109866,0.0,0.7330632097500518,-0.34872397074224387,-0.31193094112733266
cutaware,canm_mix_plus_cut,5,0.2556156957151486,0.0,0.7346703091316307,-0.3494186914380819,-0.31262566182317075
