dataset,ari,acc,nmi,f1_macro,cross_edge_mass_before,cross_edge_mass_after,cross_edge_mass_reduction,fraction_candidate_cross_edges,local_run_path
Macosko,0.3732874256022652,0.5819496518478843,0.6232832435020494,0.6574832022135308,0.10896053910255432,0.01481463573873043,0.09414590336382389,0.11169657204070702,results/experimental/cutaware_neighbormix_20260615/Macosko/canm_cut_reweighted_mix/seed42
Melanoma_5K,0.664733700215499,0.7349878129847108,0.7320136007131621,0.6517158276757967,0.06786374002695084,0.011757872067391872,0.056105867959558964,0.07278971859073786,results/experimental/cutaware_neighbormix_20260615/Melanoma_5K/canm_cut_reweighted_mix/seed42
SRP182008,0.4443267937614685,0.5947905875388486,0.6208814090020858,0.5511933291375806,0.099019855260849,0.01960882358253002,0.07941103167831898,0.1011247595086577,results/experimental/cutaware_neighbormix_20260615/SRP182008/canm_cut_reweighted_mix/seed42
Tosches,0.7389076207884887,0.7430347192456065,0.770778720917153,0.7118947534910398,0.0858684703707695,0.01059113722294569,0.07527733314782381,0.08699635662237462,results/experimental/cutaware_neighbormix_20260615/Tosches/canm_cut_reweighted_mix/seed42
Wang,0.9391771630721001,0.9860279441117764,0.8693807179817733,0.9798526733492088,0.0018186509842053056,0.0004682809521909803,0.0013503700320143253,0.0018909549322407816,results/experimental/cutaware_neighbormix_20260615/Wang/canm_cut_reweighted_mix/seed42
