dataset,method,method_raw,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,seed_<lambda>,n_seeds
Macosko,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.6924284353984408,0.05015629446221205,3,0.6164570306175542,0.025997131054472513,3,0.5755895936795016,0.1068291359140003,3,0.40287310745589616,0.02128493617772362,3,264.0441060066223,6.365151131115366,3,"2024,3407,42",3
Melanoma_5K,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.7212497230223797,0.0037668956348326788,3,0.7219785425094942,0.002679957037786572,3,0.648467635579231,0.0030776436295475405,3,0.6346392327625707,0.0015401553558121914,3,23.764318068822224,0.5053543991495412,3,"2024,3407,42",3
Quake_10x_Spleen,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.9503419877163596,0.0034821597004725496,3,0.8344134381756388,0.006477556856825527,3,0.9196389815252473,0.0017125441028452595,3,0.6980295796747784,0.013186073989110349,3,52.49059303601583,1.064547901285817,3,"2024,3407,42",3
