dataset,method_adaptive,method_raw_adaptive,acc_mean,acc_std,acc_count,nmi_mean_adaptive,nmi_std_adaptive,nmi_count,ari_mean_adaptive,ari_std_adaptive,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,seed_<lambda>,n_seeds_adaptive,method_baseline,method_raw_baseline,ari_mean_baseline,ari_std_baseline,nmi_mean_baseline,nmi_std_baseline,n_seeds_baseline,delta_ari,delta_nmi
Macosko,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.6924284353984408,0.05015629446221205,3,0.6164570306175542,0.025997131054472513,3,0.5755895936795016,0.1068291359140003,3,0.40287310745589616,0.02128493617772362,3,264.0441060066223,6.365151131115366,3,"2024,3407,42",3,scMAE + NeighborMix,neighbormix_scmae,0.4214262257888677,0.0880429874202492,0.6320480334322155,0.0321463858900497,3,0.1541633678906339,-0.015591002814661303
Macosko,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.6924284353984408,0.05015629446221205,3,0.6164570306175542,0.025997131054472513,3,0.5755895936795016,0.1068291359140003,3,0.40287310745589616,0.02128493617772362,3,264.0441060066223,6.365151131115366,3,"2024,3407,42",3,scMAE w/o NeighBorMix,nm_scmae_nomix,0.4942679711040445,0.0872786212449137,0.6574652576981922,0.0394756215632257,3,0.08132162257545705,-0.041008227080638004
Macosko,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.6924284353984408,0.05015629446221205,3,0.6164570306175542,0.025997131054472513,3,0.5755895936795016,0.1068291359140003,3,0.40287310745589616,0.02128493617772362,3,264.0441060066223,6.365151131115366,3,"2024,3407,42",3,scMAE,scmae,0.4942679711040445,0.0872786212449137,0.6574652576981922,0.0394756215632257,3,0.08132162257545705,-0.041008227080638004
Melanoma_5K,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.7212497230223797,0.0037668956348326788,3,0.7219785425094942,0.002679957037786572,3,0.648467635579231,0.0030776436295475405,3,0.6346392327625707,0.0015401553558121914,3,23.764318068822224,0.5053543991495412,3,"2024,3407,42",3,scMAE + NeighborMix,neighbormix_scmae,0.7100673672988038,0.0631527033200493,0.7436230407716087,0.0281995264194473,3,-0.06159973171957278,-0.021644498262114453
Melanoma_5K,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.7212497230223797,0.0037668956348326788,3,0.7219785425094942,0.002679957037786572,3,0.648467635579231,0.0030776436295475405,3,0.6346392327625707,0.0015401553558121914,3,23.764318068822224,0.5053543991495412,3,"2024,3407,42",3,scMAE w/o NeighBorMix,nm_scmae_nomix,0.6680290590513426,0.0017104425909449,0.7354142539386092,0.0023903450121065,3,-0.01956142347211154,-0.013435711429114927
Melanoma_5K,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.7212497230223797,0.0037668956348326788,3,0.7219785425094942,0.002679957037786572,3,0.648467635579231,0.0030776436295475405,3,0.6346392327625707,0.0015401553558121914,3,23.764318068822224,0.5053543991495412,3,"2024,3407,42",3,scMAE,scmae,0.6680290590513426,0.0017104425909449,0.7354142539386092,0.0023903450121065,3,-0.01956142347211154,-0.013435711429114927
Quake_10x_Spleen,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.9503419877163596,0.0034821597004725496,3,0.8344134381756388,0.006477556856825527,3,0.9196389815252473,0.0017125441028452595,3,0.6980295796747784,0.013186073989110349,3,52.49059303601583,1.064547901285817,3,"2024,3407,42",3,scMAE + NeighborMix,neighbormix_scmae,0.925376872943536,0.0088293562058851,0.8656842349710073,0.0018364303678193,3,-0.005737891418288732,-0.03127079679536848
Quake_10x_Spleen,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.9503419877163596,0.0034821597004725496,3,0.8344134381756388,0.006477556856825527,3,0.9196389815252473,0.0017125441028452595,3,0.6980295796747784,0.013186073989110349,3,52.49059303601583,1.064547901285817,3,"2024,3407,42",3,scMAE w/o NeighBorMix,nm_scmae_nomix,0.9222754183324536,0.0101366662691107,0.8517299934779107,0.0192728727767377,3,-0.002636436807206377,-0.01731655530227183
Quake_10x_Spleen,scMAE + DEC + StdFloor,adaptive_switch_scmae,0.9503419877163596,0.0034821597004725496,3,0.8344134381756388,0.006477556856825527,3,0.9196389815252473,0.0017125441028452595,3,0.6980295796747784,0.013186073989110349,3,52.49059303601583,1.064547901285817,3,"2024,3407,42",3,scMAE,scmae,0.9222754183324536,0.0101366662691107,0.8517299934779107,0.0192728727767377,3,-0.002636436807206377,-0.01731655530227183
