true,0,1,2,3,4,5,6,7,8,9,10,11
0,2319,109,64,26,0,1,1712,0,8,18,169,0
1,0,1,1,0,0,0,0,0,45,1,6,0
2,8,151,3527,13,1,0,16,0,4,2323,242,0
3,0,13,11,1784,0,0,1,0,2,0,57,0
4,0,1,0,1,81,0,0,0,0,0,2,0
5,0,3,0,0,0,409,4,0,0,0,16,0
6,0,0,0,0,0,0,250,0,0,0,2,0
7,1,2,0,1,0,0,2,60,0,0,0,1
8,0,8,10,2,0,0,2,0,1556,3,43,0
9,0,0,0,0,0,0,0,0,0,1,2,60
10,30,8373,96,29,1,7,111,0,31,20,20699,3
11,0,8,0,0,0,0,0,0,0,0,14,230
