label,n_cells,precision,recall,f1,is_rare_lt_50
0,1082,0.6465433300876339,0.6136783733826248,0.6296823138928402,False
1,690,0.9103260869565217,0.9710144927536232,0.9396914446002805,False
2,354,0.0,0.0,0.0,False
3,948,0.9968152866242038,0.33016877637130804,0.4960380348652932,False
4,300,1.0,0.76,0.8636363636363636,False
5,1524,0.7293646823411706,0.9566929133858267,0.8277036616520012,False
6,396,0.01293103448275862,0.007575757575757576,0.009554140127388535,False
7,1751,0.8902356902356903,0.7549971444888635,0.8170580964153276,False
8,854,0.9532163742690059,0.38173302107728335,0.5451505016722408,False
9,266,0.20608108108108109,0.9172932330827067,0.33655172413793105,False
10,1153,0.989145183175034,0.632263660017346,0.7714285714285715,False
11,2569,0.8270616493194556,0.40210198520825224,0.5411210057621791,False
12,478,0.16966151274550773,0.8493723849372385,0.2828282828282828,False
13,344,1.0,0.6133720930232558,0.7603603603603604,False
14,805,0.383793410507569,0.5354037267080746,0.4470954356846473,False
