label,n_cells,same_label_edge_ratio,same_label_edge_ratio_weighted,is_minority_q25
0,252,0.9873015873015873,0.9884608387947083,True
1,1091,0.9602199816681943,0.9596753716468811,False
2,792,0.9593434343434344,0.9551594853401184,False
3,558,0.9888888888888889,0.9880810976028442,False
4,535,0.9689719626168224,0.9686257839202881,False
5,817,0.9689106487148103,0.9685363173484802,False
6,398,0.9165829145728643,0.914957582950592,True
7,2237,0.9562807331247206,0.958946704864502,False
8,479,0.8818371607515657,0.8816174268722534,False
9,1372,0.9637026239067056,0.9639374613761902,False
10,553,0.9428571428571428,0.9410796761512756,False
11,1702,0.9491186839012926,0.949862539768219,False
12,1759,0.9736213757816942,0.974584698677063,False
13,313,0.8108626198083068,0.8238303065299988,True
14,48,1.0,1.0,True
15,2945,0.999320882852292,0.9995706677436829,False
16,10888,0.9875091844232182,0.9882767796516418,False
17,91,1.0,1.0,True
