label,n_cells,precision,recall,f1,is_rare_lt_50
0,1082,0.7658486707566462,0.6922365988909427,0.7271844660194174,False
1,690,0.9183673469387755,0.9782608695652174,0.9473684210526315,False
2,354,0.0,0.0,0.0,False
3,948,0.9421841541755889,0.4641350210970464,0.6219081272084805,False
4,300,1.0,0.7733333333333333,0.8721804511278195,False
5,1524,0.7750939345142244,0.94750656167979,0.852671981104222,False
6,396,0.0029850746268656717,0.0025252525252525255,0.0027359781121751026,False
7,1751,0.9089012517385258,0.7464306110793832,0.8196926936343681,False
8,854,0.9835390946502057,0.27985948477751754,0.4357338195077484,False
9,266,0.1941031941031941,0.8909774436090225,0.3187626092804304,False
10,1153,0.9919463087248322,0.6409366869037294,0.7787144362486829,False
11,2569,0.8252508361204013,0.38419618528610355,0.5243027888446216,False
12,478,0.16016260162601625,0.8242677824267782,0.2682096664397549,False
13,344,1.0,0.6366279069767442,0.7779751332149201,False
14,805,0.4472511144130758,0.7478260869565218,0.5597396559739656,False
