dataset,seed,variant,source_variant,graph_enabled,prob_graph_gain,ari,nmi,acc,q_total
Bach,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7646189726203547,0.7654876450693918,0.7540401673195559,0.7955486542443064,0.6694723939891316
Bach,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7645550732147369,0.7639873804058779,0.7521575757862685,0.7945997239475501,0.669980113162676
Bach,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7640187854266739,0.8035450000845705,0.7762515685587933,0.8344979296066253,0.6682001689411146
Baron,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8286455347339052,0.62410629510805,0.7211628751457325,0.7287898237834053,0.6957839329478427
Baron,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.828984880040051,0.7024829910146035,0.7357810413657385,0.7567977593651535,0.6973995961712136
Baron,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.8290646914382599,0.6129429007516166,0.7162060853522692,0.7228381374722838,0.6991913732298318
Guo,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7738142711023271,0.7610108301611663,0.7890339417092235,0.7996918335901386,0.7052634123430593
Guo,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7739223983452631,0.7552499156940935,0.7869920798724989,0.7975346687211095,0.7060002920092563
Guo,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7739308590788538,0.7648584185752533,0.7969270482480549,0.8046224961479199,0.7058801344924008
Limb_Muscle,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.755637629735749,0.7405171494539577,0.8191764645784329,0.9073931951905858,0.7480758399043035
Limb_Muscle,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7557496341829255,0.9178236736167543,0.9139755268194685,0.9626502941928882,0.7507644099663849
Limb_Muscle,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7560140061891091,0.8316440336294294,0.8840377522373788,0.9068815553850089,0.7508270163641906
Melanoma_5K,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7547674671127955,0.49222483570110837,0.630622612305064,0.6315089740748947,0.7505869524559667
Melanoma_5K,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7545496150945868,0.48103676231082865,0.6178074751542626,0.6184356304010636,0.7464863494149473
Melanoma_5K,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7545100974957368,0.47500670580741206,0.6221065145069817,0.6038112120540661,0.747775041920894
Pollen,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.762764063138851,0.8700415764190499,0.8955787312019604,0.8571428571428571,0.7748868958396794
Pollen,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7600639796819434,0.7753551137203126,0.8652777043391131,0.7774086378737541,0.759589324492979
Pollen,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.76053967600661,0.7564323599073581,0.8711736477246441,0.7906976744186046,0.76220838923591
Quake_10x_Spleen,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7560812469722221,0.7326574771940283,0.6667404495448577,0.9163525963149078,0.7466938852100853
Quake_10x_Spleen,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7529285331250327,0.8493635212077368,0.7750838208006982,0.9539363484087102,0.7313700144493637
Quake_10x_Spleen,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7562922210153844,0.6365126071078092,0.5806326107380767,0.894891122278057,0.7492401445138424
Quake_Smart-seq2_Lung,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7642021331346627,0.6839688183964758,0.7432894297238285,0.6789976133651552,0.7945104608536903
Quake_Smart-seq2_Lung,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.764257220727276,0.6891986531070012,0.7497453626282528,0.6789976133651552,0.7944221526920506
Quake_Smart-seq2_Lung,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.764400115204862,0.686812709756784,0.7481178014163763,0.6784009546539379,0.7960698611083203
Shekhar,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7907840482026315,0.7421482399121357,0.653255524626089,0.7799105478941484,0.6218584346082627
Shekhar,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7904863848981992,0.7283271254194191,0.6510702978087379,0.7545657845695117,0.6195892046865341
Shekhar,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7908257166137226,0.736139698348741,0.6611252806222571,0.7636228102869922,0.622502909493165
Tosches,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7731904742349895,0.6022994684334384,0.6597373576644254,0.655968709815688,0.7066102632165402
Tosches,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7738555007114963,0.6008693261792651,0.6609277359396305,0.6553793399057009,0.707641586846846
Tosches,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7736183382221654,0.535781983189506,0.676911259593729,0.6445563651950279,0.710432277412039
Wang,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.774157782747994,0.9694165426212082,0.9240608670102626,0.9930664985817838,0.6984532276258257
Wang,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7741828860000047,-0.02328777151779158,0.011539246055237384,0.7616346254858704,0.6984468781109772
Wang,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7741397680163711,0.966183945674643,0.9175930143850526,0.9923311272192458,0.6982508803328891
Young,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7509463064323308,0.49032787271298484,0.6850848509387736,0.6689533861037819,0.7270139894214507
Young,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7545819612350789,0.5454235744543454,0.7029781005487384,0.6988566402814423,0.7405882995351125
Young,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7503687187153792,0.5028722053281717,0.6910013882493993,0.6772207563764292,0.7237944865693422
worm_neuron_cell,42,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7641196074176885,0.15526647465850382,0.4534249208286463,0.5076445293836598,0.7947103766478677
worm_neuron_cell,3047,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7656604810415325,0.20205556350670725,0.5047139144582169,0.5597228858098423,0.792601930473031
worm_neuron_cell,3407,safe_rdg_calibrated_logistic_explore,rdg_always_on,True,0.7627416619986762,0.2108724407998285,0.5162437408941999,0.5661729574773053,0.7863487796814226
